.thisTrialN,.stepSize,.intensity,time.onset,cue.color,cue_onset_time,cue_duration,isi_duration_int,isi_onset_time,isi_duration_act,.response,target_onset_time,target_duration,Trial.rewardType,Total_Earned,feedback_onset_time,feedback_duration,iti_int,iti_onset_time,iti_duration,time.global,time.nominal,time.trial,Target_Resp.rt,participant,session,run,date,expName,frameRate,
0,6,8.0,8.198945899959654,Green,8.200020599877462,0.7489858001936227,2.0,8.949705200036988,1.9998373999260366,0,10.949876599945128,0.2633333333333333,-1,0,11.519992900080979,0.9458027000073344,2.5,12.466313699958846,2.499658599961549,14.966086399974301,14.933309500105679,6.766113999998197,,888,1,2,2025-02-17_16h03.34.559,MID1.0,59.833376027337835,
1,3,14.0,14.966155499918386,Blue,14.966979800025001,0.7495287000201643,2.0,15.71715939999558,1.9995611999183893,1,17.716836200095713,0.36333333333333334,1,0,18.27543259994127,0.9577411999925971,2.5,19.23393990006298,2.49726269999519,21.731235299957916,21.68330950010568,6.764295500004664,0.34957029996439815,888,1,2,2025-02-17_16h03.34.559,MID1.0,59.833376027337835,
2,3,11.0,21.731271999888122,Blue,21.731743999989703,0.7507039001211524,2.0,22.483364700106904,1.999432799872011,0,24.48292769980617,0.31333333333333335,-1,0,25.004056900041178,0.9795566997490823,3.5,25.98418389982544,3.498959999997169,29.483202600153163,29.43330950010568,7.7514884998090565,,888,1,2,2025-02-17_16h03.34.559,MID1.0,59.833376027337835,
3,3,14.0,29.483267199946567,Green,29.484148000134155,0.7487631998956203,1.5,30.233498399844393,1.498886600136757,1,31.732525499770418,0.36333333333333334,1,1,32.28161820000969,0.9510539998300374,2.0,33.23339359997772,1.999210000038147,35.23267010017298,35.18330950010568,5.748571800068021,0.35038969991728663,888,1,2,2025-02-17_16h03.34.559,MID1.0,59.833376027337835,
4,3,14.0,35.232752800220624,Blue,35.23370939982124,0.7493688999675214,1.5,35.98371979990043,1.4992531999014318,0,37.48311619996093,0.36333333333333334,-1,1,38.04377990006469,0.9562638998031616,2.0,39.000948400003836,1.9977913000620902,40.99877679976635,40.93330950010568,5.765114500187337,,888,1,2,2025-02-17_16h03.34.559,MID1.0,59.833376027337835,
5,3,15,40.998819700209424,Green,40.99935229984112,0.7509498000144958,1.5,41.75106450007297,1.49840970011428,0,43.24962539994158,0.38,-1,1,43.79358429997228,0.9714373000897467,2.0,44.76538429991342,2.0008133999072015,46.766567200189456,46.68330950010568,5.767327600158751,,888,1,2,2025-02-17_16h03.34.559,MID1.0,59.833376027337835,
6,3,15,46.76675249985419,Green,46.76794399996288,0.7472442998550832,2.5,47.515593599760905,2.501085900235921,0,50.01683469978161,0.38,-1,1,50.53112560021691,0.983597899787128,6.0,51.51506549981423,6.000751600135118,57.51589160016738,57.43330950010568,10.748005300294608,,888,1,2,2025-02-17_16h03.34.559,MID1.0,59.833376027337835,
7,3,15,57.515925199957564,Blue,57.51644259993918,0.7498540999367833,1.5,58.266886700177565,1.4984873998910189,0,59.765473999781534,0.38,-1,1,60.28987420001067,0.9921299000270665,3.0,61.28251880011521,2.999442699830979,64.28199350018986,64.18330950010568,6.765575000084937,,888,1,2,2025-02-17_16h03.34.559,MID1.0,59.833376027337835,
8,3,15,64.28203000011854,Blue,64.28254689997993,0.7500443998724222,1.5,65.03320430009626,1.4996695998124778,1,66.53312720009126,0.38,1,1,67.0756253998261,0.973446000367403,5.0,68.04991629975848,4.99836890026927,73.04833780019544,72.93330950010568,8.765821900218725,0.36727149970829487,888,1,2,2025-02-17_16h03.34.559,MID1.0,59.833376027337835,
9,3,15,73.04839439992793,Blue,73.0490574000869,0.7494886997155845,1.5,73.79887590021826,1.5003372998908162,0,75.2993746001739,0.38,-1,1,75.83564629987814,0.980689899995923,7.0,76.81706440006383,6.998648299835622,83.81577090010978,83.68330950010568,10.76675479998812,,888,1,2,2025-02-17_16h03.34.559,MID1.0,59.833376027337835,
10,3,15,83.81584370019846,Blue,83.81668490008451,0.7493577999994159,1.5,84.5665597000625,1.4989549997262657,1,86.06563719990663,0.38,1,1,86.60661839996465,0.9582624998874962,7.0,87.56535920011811,7.0007366999052465,94.56617439980619,94.43330950010568,10.74953420041129,0.36560939997434616,888,1,2,2025-02-17_16h03.34.559,MID1.0,59.833376027337835,
11,3,15,94.56621760013513,Green,94.56679500010796,0.7483437997289002,1.5,95.31555499997921,1.4994172002188861,0,96.81504330015741,0.38,-1,1,97.33421519980766,0.9808523999527097,5.0,98.31554729980417,4.999594200402498,103.31529360008426,103.18330950010568,8.748535300139338,,888,1,2,2025-02-17_16h03.34.559,MID1.0,59.833376027337835,
12,3,15,103.31536720017903,Green,103.31622089981101,0.7495273002423346,3.0,104.0664381000679,2.9989203000441194,0,107.06551269977354,0.38,-1,1,107.61280040000565,0.9689612002111971,4.5,108.5821839000564,4.499390100128949,113.0816086998675,112.93330950010568,9.765433799941093,,888,1,2,2025-02-17_16h03.34.559,MID1.0,59.833376027337835,
13,3,15,113.08164689992554,Blue,113.08212320017628,0.7505059996619821,1.5,113.83352369978093,1.497550600208342,0,115.33121889992617,0.38,-1,1,115.85529299988411,0.9933740999549627,2.0,116.849447599845,1.9996071001514792,118.84914820012636,118.68330950010568,5.767058599740267,,888,1,2,2025-02-17_16h03.34.559,MID1.0,59.833376027337835,
14,3,15,118.8492317001801,Green,118.8501333000604,0.7494207001291215,2.0,119.60050359996967,1.9985115001909435,0,121.59914039983414,0.38,-1,1,122.12492950004525,0.9901197999715805,3.5,123.11571759986691,3.499464699998498,126.61521030007862,126.43330950010568,7.765133199747652,,888,1,2,2025-02-17_16h03.34.559,MID1.0,59.833376027337835,
15,3,15,126.61524189985357,Blue,126.61566829984076,0.7502328003756702,1.5,127.36662820004858,1.4994651000015438,0,128.86626070016064,0.38,-1,1,129.3899780998472,0.9918055003508925,3.0,130.38221929990686,3.0007386999204755,133.38305499986745,133.18330950010568,6.76741460012272,,888,1,2,2025-02-17_16h03.34.559,MID1.0,59.833376027337835,
16,3,15,133.38311109994538,Green,133.38374209986068,0.7483689999207854,1.5,134.13259060005657,1.499064499977976,0,135.63186540012248,0.38,-1,1,136.1653003997635,0.9829365001060069,3.0,137.1486269000452,3.0001245997846127,140.14892350020818,139.93330950010568,6.765222200192511,,888,1,2,2025-02-17_16h03.34.559,MID1.0,59.833376027337835,
17,3,15,140.14898850000463,Green,140.14970440021716,0.7490101996809244,1.5,140.899745099945,1.4977294998243451,0,142.39754560007714,0.38,-1,1,142.9113553997595,0.9872482004575431,2.0,143.89918509987183,1.9996524001471698,145.8990116000641,145.68330950010568,5.749359500128776,,888,1,2,2025-02-17_16h03.34.559,MID1.0,59.833376027337835,
18,3,15,145.89911290002055,Blue,145.90027839993127,0.7491437001153827,1.5,146.6501312002074,1.499061499722302,0,148.1493364998605,0.38,-1,1,148.66268409998156,0.9867011001333594,5.0,149.64988539996557,4.999130200129002,154.64911159989424,154.43330950010568,8.748896300327033,,888,1,2,2025-02-17_16h03.34.559,MID1.0,59.833376027337835,
19,3,15,154.64921849989332,Green,154.64999819989316,0.749197100289166,2.0,155.39974880008958,1.9995817998424172,1,157.39951920020394,0.38,1,2,157.95209160004742,0.9634250998497009,7.5,158.91622820007615,7.499539100099355,166.41585790016688,166.18330950010568,11.765917900018394,0.3667421001009643,888,1,2,2025-02-17_16h03.34.559,MID1.0,59.833376027337835,
20,3,15,166.41596939996816,Blue,166.41674560005777,0.7489243997260928,1.5,167.1663850999903,1.4982540998607874,0,168.66476789978333,0.38,-1,2,169.20778549998067,0.9578126999549568,2.0,170.16619589994662,1.9995507998391986,172.16597700002603,171.93330950010568,5.7492713001556695,,888,1,2,2025-02-17_16h03.34.559,MID1.0,59.833376027337835,
21,3,15,172.16608219989575,Green,172.16724680014886,0.7482655998319387,3.0,172.91614329977892,2.999619400128722,0,175.91609240020625,0.38,-1,2,176.44733600015752,0.9677157998085022,4.5,177.41550029977225,4.49948520027101,181.91507399990223,181.68330950010568,9.747887999750674,,888,1,2,2025-02-17_16h03.34.559,MID1.0,59.833376027337835,
22,3,15,181.91513829980977,Green,181.9158608999569,0.7497641001828015,1.5,182.6660685997922,1.4994505001232028,0,184.16577139985748,0.38,-1,2,184.69137410004623,0.9905195999890566,2.0,185.68231230019592,1.9998479997739196,187.68224420002662,187.43330950010568,5.766434800345451,,888,1,2,2025-02-17_16h03.34.559,MID1.0,59.833376027337835,
23,3,15,187.68234629998915,Blue,187.6835521000903,0.7485183998942375,1.5,188.43281639995985,1.498266899958253,1,189.93113899999298,0.38,1,2,190.46160439983942,0.9694384001195431,2.0,191.4316244998481,2.000492900144309,193.4322651999537,193.18330950010568,5.748781600035727,0.36820869985967875,888,1,2,2025-02-17_16h03.34.559,MID1.0,59.833376027337835,
24,3,15,193.43234109994955,Blue,193.43331469991244,0.7501391000114381,2.0,194.18403159989975,1.9982336000539362,0,196.18241030001082,0.38,-1,2,196.7114183001686,0.9700161996297538,2.5,197.68206249992363,2.499090400058776,200.18118609976955,199.93330950010568,6.747913899831474,,888,1,2,2025-02-17_16h03.34.559,MID1.0,59.833376027337835,
25,3,15,200.1812270001974,Blue,200.18173969979398,0.750333399977535,2.5,200.93292740010656,2.496033899951726,0,203.42902109981515,0.38,-1,2,203.95084409997799,0.9798137000761926,4.0,204.93106449977495,3.9972726004198194,208.9284377999138,208.68330950010568,8.74673799984157,,888,1,2,2025-02-17_16h03.34.559,MID1.0,59.833376027337835,
