.thisTrialN,.stepSize,.intensity,time.onset,cue.color,cue_onset_time,cue_duration,isi_duration_int,isi_onset_time,isi_duration_act,.response,target_onset_time,target_duration,Trial.rewardType,Total_Earned,feedback_onset_time,feedback_duration,iti_int,iti_onset_time,iti_duration,time.global,time.nominal,time.trial,Target_Resp.rt,Total_Task_Duration,participant,session,run,date,expName,frameRate,
0,6,8.0,8.188264400232583,Green,8.18995530018583,0.7471992997452617,2.5,8.937964200042188,2.5002498999238014,0,11.438440000172704,0.2611475409836066,-1,0,12.00413400027901,0.9337761998176575,4.0,12.938425899948925,3.999815500341356,16.93842149991542,16.921098900027573,8.748549400363117,,,888,2,1,2025-02-17_16h19.01.484,MID1.0,60.50671961469929,
1,3,14.0,16.938564599957317,Green,16.939664899837226,0.748825500253588,1.5,17.689002099912614,1.498862000182271,1,19.187951300293207,0.3595081967213115,1,1,19.738245999906212,0.9502673000097275,2.0,20.689149300102144,1.999142199754715,22.68837139988318,22.671098900027573,5.7487705000676215,0.3503449000418186,,888,2,1,2025-02-17_16h19.01.484,MID1.0,60.50671961469929,
2,3,11.0,22.688453500159085,Blue,22.689395599998534,0.7489379001781344,3.0,23.439130499958992,2.9985949001275003,0,26.43782290024683,0.310327868852459,-1,1,26.983932300005108,0.9541091001592577,3.5,27.938463700003922,3.4986736001446843,31.437168499920517,31.421098900027573,8.747816400136799,,,888,2,1,2025-02-17_16h19.01.484,MID1.0,60.50671961469929,
3,3,14.0,31.437239000108093,Blue,31.437786899972707,0.7500114003196359,2.0,32.18885410018265,1.9988795998506248,1,34.18785239988938,0.3595081967213115,1,1,34.74609010014683,0.9586346996948123,7.5,35.7056813002564,7.499523699749261,43.20540710026398,43.17109890002757,11.767673599999398,0.3508250000886619,,888,2,1,2025-02-17_16h19.01.484,MID1.0,60.50671961469929,
4,2,14.0,43.20551360026002,Green,43.206844500266016,0.7486890000291169,2.0,43.95589879993349,1.99856310011819,1,45.95456829993054,0.3595081967213115,1,2,46.49599980004132,0.9746491000987589,7.5,47.47099479986355,7.499892200343311,54.970998300239444,54.92109890002757,11.764227400068194,0.3490097997710109,,888,2,1,2025-02-17_16h19.01.484,MID1.0,60.50671961469929,
5,2,12.0,54.971054300200194,Blue,54.97181779984385,0.7494819001294672,3.0,55.72211130009964,2.9994247001595795,1,58.72162020020187,0.32672131147540984,1,2,59.2610622998327,0.9759923000819981,3.5,60.23744609998539,3.500228099990636,63.737810200080276,63.67109890002757,8.766035399865359,0.31673540035262704,,888,2,1,2025-02-17_16h19.01.484,MID1.0,60.50671961469929,
6,2,12.0,63.73796259984374,Blue,63.738804399967194,0.7495948001742363,1.5,64.4890793999657,1.4989868002012372,0,65.98837270028889,0.32672131147540984,-1,2,66.51218600012362,0.9758842000737786,2.0,67.48854009993374,1.9998750002123415,69.48851560009643,69.42109890002757,5.749752199742943,,,888,2,1,2025-02-17_16h19.01.484,MID1.0,60.50671961469929,
7,2,14.0,69.48856140021235,Blue,69.48912069993094,0.7484885999001563,1.5,70.23801530012861,1.4999289000406861,0,71.73817080026492,0.3595081967213115,-1,2,72.25086330017075,0.9874593000859022,7.0,73.2389333001338,6.998978599905968,80.23797530028969,80.17109890002757,10.748890099581331,,,888,2,1,2025-02-17_16h19.01.484,MID1.0,60.50671961469929,
8,2,15,80.23804299999028,Blue,80.23891030019149,0.7501050997525454,1.5,80.98965909983963,1.4981636004522443,0,82.48809530027211,0.37590163934426235,-1,2,83.01720459992066,0.9879515003412962,3.0,84.00592210004106,2.997779999859631,87.0037508001551,86.92109890002757,6.76488560019061,,,888,2,1,2025-02-17_16h19.01.484,MID1.0,60.50671961469929,
9,2,15,87.00380149995908,Blue,87.0044404999353,0.7509813001379371,1.5,87.75602329988033,1.4988369001075625,0,89.25498030008748,0.37590163934426235,-1,2,89.78326509986073,0.986895200330764,3.0,90.7704612002708,3.0009820996783674,93.7717091999948,93.67109890002757,6.767316799610853,,,888,2,1,2025-02-17_16h19.01.484,MID1.0,60.50671961469929,
10,2,15,93.77180900005624,Blue,93.7730453000404,0.748414000030607,3.0,94.5219085002318,2.999792699702084,1,97.5218219999224,0.37590163934426235,1,2,98.06725350022316,0.9702174998819828,3.5,99.03791770013049,3.499628799967468,102.53760500019416,102.42109890002757,8.764627700205892,0.3660152000375092,,888,2,1,2025-02-17_16h19.01.484,MID1.0,60.50671961469929,
11,2,15,102.53766530007124,Blue,102.53844729997218,0.7485298002138734,2.0,103.28729630028829,2.000337299890816,0,105.28782900003716,0.37590163934426235,-1,2,105.84124189987779,0.9627252002246678,2.5,106.8045874000527,2.4998150002211332,109.3045777999796,109.17109890002757,6.766182700172067,,,888,2,1,2025-02-17_16h19.01.484,MID1.0,60.50671961469929,
12,2,15,109.30467549990863,Blue,109.30560600012541,0.7485933997668326,2.0,110.0546480002813,1.9997549997642636,1,112.05459580011666,0.37590163934426235,1,2,112.58844710001722,0.9657715000212193,7.5,113.55467029986903,7.500014000106603,121.05475470004603,120.92109890002757,11.749189000111073,0.3680688003078103,,888,2,1,2025-02-17_16h19.01.484,MID1.0,60.50671961469929,
13,2,15,121.05479029985145,Green,121.05525860004127,0.7501105000264943,1.5,121.80580430012196,1.4992712000384927,0,123.30516360001639,0.37590163934426235,-1,2,123.85699200024828,0.9633872997947037,5.0,124.82074340013787,4.999224199913442,129.82003870001063,129.67109890002757,8.764815299771726,,,888,2,1,2025-02-17_16h19.01.484,MID1.0,60.50671961469929,
14,2,15,129.8201019000262,Blue,129.82054580003023,0.750963400118053,1.5,130.5722588999197,1.4987079999409616,0,132.07108459994197,0.37590163934426235,-1,2,132.59991590026766,0.9880911996588111,3.0,133.58860700018704,2.9988975999876857,136.58757060021162,136.42109890002757,6.767057199962437,,,888,2,1,2025-02-17_16h19.01.484,MID1.0,60.50671961469929,
15,2,15,136.58763850014657,Green,136.58849850017577,0.7498698998242617,3.0,137.3390943002887,2.9994394998066127,1,140.3387243002653,0.37590163934426235,1,3,140.90325410012156,0.9516858998686075,3.5,141.85547430021688,3.498586299829185,145.3541159001179,145.17109890002757,8.765673300251365,0.3669153000228107,,888,2,1,2025-02-17_16h19.01.484,MID1.0,60.50671961469929,
16,1,15,145.3542137001641,Green,145.3553142999299,0.7486169999465346,1.5,146.10451300023124,1.4995202999562025,1,147.60417720023543,0.37590163934426235,1,4,148.12512340024114,0.9790900996886194,7.0,149.1049092002213,6.998707300052047,156.1037170002237,155.92109890002757,10.748460500035435,0.3676893999800086,,888,2,1,2025-02-17_16h19.01.484,MID1.0,60.50671961469929,
17,1,14,156.1037985002622,Green,156.10491889994591,0.7494663000106812,1.5,156.854858700186,1.497655499726534,1,158.3525886000134,0.3595081967213115,1,5,158.86653760029003,0.9874931997619569,2.0,159.85521440021694,2.001267199870199,161.85666389996186,161.67109890002757,5.751831400208175,0.35223189974203706,,888,2,1,2025-02-17_16h19.01.484,MID1.0,60.50671961469929,
18,1,14,161.85675940010697,Green,161.8579158000648,0.7469730000011623,2.0,162.60550459986553,1.9994362001307309,0,164.60508450027555,0.3595081967213115,-1,5,165.15341679984704,0.9671472003683448,2.5,166.1213002000004,2.498915399890393,168.62026569992304,168.42109890002757,6.76240579970181,,,888,2,1,2025-02-17_16h19.01.484,MID1.0,60.50671961469929,
19,1,15,168.62031179992482,Blue,168.6209109998308,0.7502960003912449,3.0,169.3718495001085,2.9994878000579774,1,172.3714537001215,0.37590163934426235,1,5,172.92518520029262,0.9623185996897519,3.5,173.88831719988957,3.4995078002102673,177.38795479992405,177.17109890002757,8.767092099878937,0.36778230033814907,,888,2,1,2025-02-17_16h19.01.484,MID1.0,60.50671961469929,
20,1,15,177.38805729988962,Blue,177.3893475001678,0.7501026997342706,1.5,178.14022189984098,1.4958807001821697,1,179.63616760028526,0.37590163934426235,1,5,180.15298510016873,0.9845584998838603,7.0,181.13824700005352,6.999108800198883,188.13741940027103,187.92109890002757,10.748134499881417,0.36910670017823577,,888,2,1,2025-02-17_16h19.01.484,MID1.0,60.50671961469929,
21,1,14,188.13748899986967,Green,188.13831420009956,0.7486780001781881,1.5,188.88751129992306,1.499492000322789,1,190.38707489985973,0.3595081967213115,1,6,190.93052210006863,0.9731899998150766,5.0,191.9043459999375,4.99961270019412,196.90406960016116,196.67109890002757,8.765805599745363,0.34962720004841685,,888,2,1,2025-02-17_16h19.01.484,MID1.0,60.50671961469929,
22,1,14,196.90415510023013,Green,196.90523600019515,0.7488744999282062,2.0,197.65476839989424,1.9991455003619194,0,199.65402990020812,0.3595081967213115,-1,6,200.20332710025832,0.9667043997906148,2.5,201.17060159984976,2.4997479002922773,203.67049479996786,203.42109890002757,6.765319500118494,,,888,2,1,2025-02-17_16h19.01.484,MID1.0,60.50671961469929,
23,1,15,203.67059929994866,Green,203.67148029990494,0.7491599000059068,1.5,204.42129989992827,1.4989694999530911,1,205.9203675002791,0.37590163934426235,1,7,206.47263700002804,0.9631111999042332,3.0,207.4361097002402,3.0007071997970343,210.4370848000981,210.17109890002757,6.765658000018448,0.3680052999407053,,888,2,1,2025-02-17_16h19.01.484,MID1.0,60.50671961469929,
24,1,15,210.43718989985064,Green,210.43811229988933,0.7479650001041591,2.5,211.18648840021342,2.50059499964118,0,213.68732610018924,0.37590163934426235,-1,7,214.24369839997962,0.9593340000137687,3.0,215.20349510014057,3.0005811997689307,218.2042564000003,217.92109890002757,7.766195199918002,,,888,2,1,2025-02-17_16h19.01.484,MID1.0,60.50671961469929,
25,1,15,218.2043351000175,Green,218.20523300021887,0.7495176000520587,2.0,218.95547960000113,1.9983760002069175,1,220.9540050001815,0.37590163934426235,1,8,221.51953579997644,0.9509117999114096,2.5,222.47101159999147,2.4985819002613425,224.9696448999457,224.67109890002757,6.764458499848843,0.3666591998189688,,888,2,1,2025-02-17_16h19.01.484,MID1.0,60.50671961469929,
26,1,15,224.9696983001195,Blue,224.97045570006594,0.7500375001691282,2.5,225.72140619996935,2.499509199988097,0,228.22107829991728,0.37590163934426235,-1,8,228.78344850009307,0.9531223997473717,3.0,229.73734180023894,3.000503699760884,232.7380006001331,232.42109890002757,7.767614099662751,,,888,2,1,2025-02-17_16h19.01.484,MID1.0,60.50671961469929,
27,1,15,232.73810190008953,Green,232.7390645002015,0.7486499999649823,1.5,233.48822849988937,1.497222900390625,0,234.98557180026546,0.37590163934426235,-1,8,235.5151229002513,0.9718390996567905,3.0,236.4875201000832,2.999623800162226,239.48735389998183,239.17109890002757,6.7483506998978555,,,888,2,1,2025-02-17_16h19.01.484,MID1.0,60.50671961469929,
28,1,15,239.48755179997534,Green,239.48877320019528,0.7482419000007212,1.5,240.2376542002894,1.4996079998090863,0,241.73744439985603,0.37590163934426235,-1,8,242.2500999001786,0.986639800015837,5.0,243.2373236999847,4.9999597002752125,248.23749700002372,247.92109890002757,8.748795800376683,,,888,2,1,2025-02-17_16h19.01.484,MID1.0,60.50671961469929,
29,1,15,248.2375957001932,Green,248.23862439999357,0.7484955000691116,2.0,248.98761459998786,1.9984463001601398,1,250.98611349985003,0.37590163934426235,1,9,251.52386400010437,0.9628755999729037,2.5,252.4874193998985,2.499712100252509,254.98720679990947,254.67109890002757,6.748645500279963,0.36723419977352023,,888,2,1,2025-02-17_16h19.01.484,MID1.0,60.50671961469929,
30,1,15,254.9872834002599,Green,254.988225299865,0.7489202003926039,1.5,255.73779499996454,1.4994695000350475,0,257.23736790008843,0.37590163934426235,-1,9,257.793237300124,0.9605588000267744,3.0,258.7546200999059,2.9988990002311766,261.75357920024544,261.4210989000276,6.765405299607664,,,888,2,1,2025-02-17_16h19.01.484,MID1.0,60.50671961469929,
31,1,15,261.753645000048,Blue,261.75448070000857,0.7489817002788186,1.5,262.5041875001043,1.4997370997443795,0,264.00413600029424,0.37590163934426235,-1,9,264.53297219984233,0.9699789001606405,7.0,265.503528600093,7.0004540998488665,272.5042039002292,272.1710989000276,10.749780300073326,,,888,2,1,2025-02-17_16h19.01.484,MID1.0,60.50671961469929,
