"CueColor","itiTime"
"Blue","1"
"Green","1"
"Green","1"
"Blue","3"
"Green","4"
"Green","3"
"Blue","1"
"Blue","1"
"Green","2"
"Green","2"
"Blue","2"
"Blue","1"
