"CueColor","isiTime","itiTime"
"Green","1.5",3.75
"Green","2",4.25
"Green","2.5",2.75
"Blue","1.5",3.75
"Blue","1.5",7.75
"Green","2",2.25
"Blue","3",3.25
"Green","1.5",7.75
"Blue","2",4.25
"Blue","1.5",1.75
"Green","1.5",1.75
"Green","1.5",1.75
"Blue","2",6.25
"Blue","1.5",3.75
"Blue","2.5",4.75
"Green","3.5",3.75
"Blue","1.5",1.75
"Green","2.5",8.75
"Green","3",3.25
"Green","1.5",5.75
"Blue","1.5",3.75
"Blue","1.5",1.75
"Blue","2.5",4.75
"Blue","2",2.25
"Blue","2",8.25
"Green","1.5",1.75
"Green","2",6.25
"Blue","1.5",5.75
"Green","2",8.25
"Blue","1.5",1.75
"Blue","1.5",3.75
"Green","2",6.25
"Blue","1.5",7.75
"Green","2",2.25
"Green","1.5",3.75
"Blue","1.5",1.75
"Green","2",6.25
"Blue","4",4.25
"Green","1.5",1.75
"Blue","3",3.25
"Green","2.5",2.75
"Green","2",2.25
"Green","2.5",2.75
"Green","3.5",3.75
"Blue","3",3.25
"Blue","2",2.25
"Blue","1.5",1.75
"Blue","1.5",1.75
"Green","2",2.25
"Green","1.5",1.75
"Blue","2",4.25
"Green","1.5",3.75
"Blue","4",6.25
"Green","2",6.25
"Green","1.5",1.75
"Blue","1.5",1.75
"Blue","1.5",7.75
"Blue","2.5",8.75
"Green","1.5",3.75
"Green","1.5",1.75
"Blue","1.5",3.75
"Blue","1.5",3.75
"Green","1.5",5.75
"Green","2.5",2.75
