TrialNumber,Trialn,TrialType,Partner,Feedback,ITI,ISI,ran,order,studyStart,InitFixOnset,InitFixOffset,decision_onset,resp,resp_onset,rt,ISI_onset,isi_for_trial,ISI_offset,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset,final_fix_offset
1,1,1,1,1,2,8.500000e-01,1.0,0.0,2.3999892e-06,0.0110865,4.011508,4.017882,2.0,4.7448096,0.7269273,4.845226,2.5230727,7.370715,3.0,7.3708906,8.380258,4.3623757,8.380432,10.383341,--
2,2,1,1,1,1,1.700000e+00,1.0,1.0,--,--,--,10.385116,2.0,11.327385,0.9422687,11.42774,3.1577313,14.587459,3.0,14.587578,15.593761,5.2086453,15.593928,16.596148,--
3,3,6,2,3,3,8.500000e-01,1.0,2.0,--,--,--,16.803152,2.0,17.744247,0.9410953,17.844631,2.3089046,20.155445,6.0,20.155565,21.163692,4.3605413,21.163837,24.165354,--
4,4,3,1,3,3,2.550000e+00,1.0,3.0,--,--,--,24.169655,3.0,25.728247,1.5585929,25.828615,3.391407,29.22281,3.0,29.222939,30.228073,6.0584188,30.228228,33.23042,--
5,5,5,2,2,2,8.500000e-01,1.0,4.0,--,--,--,33.43547,2.0,33.961296,0.5258265,34.061672,2.7241735,36.78922,5.0,36.78934,37.806465,4.370993,37.806602,39.808456,--
6,6,4,2,1,3,2.550000e+00,1.0,5.0,--,--,--,40.00619,3.0,41.14707,1.1408821,41.24744,3.8091178,45.05962,7.0,45.05974,46.069656,6.063464,46.069798,49.071278,--
7,7,4,2,1,3,1.700000e+00,1.0,6.0,--,--,--,49.2715,2.0,49.895382,0.6238815,49.99575,3.4761186,53.474472,2.0,53.474598,54.48063,5.209129,54.480766,57.482594,--
8,8,4,2,1,4,1.700000e+00,1.0,7.0,--,--,--,57.685135,2.0,58.428562,0.7434259,58.52892,3.356574,61.888206,2.0,61.88833,62.892113,5.2069764,62.89225,66.89398,--
9,9,1,1,1,2,2.550000e+00,1.0,8.0,--,--,--,66.89709,3.0,67.72845,0.83136,67.82882,4.11864,71.94941,9.0,71.949524,72.9547,6.057615,72.95484,74.95635,--
10,10,4,2,1,2,8.500000e-01,1.0,9.0,--,--,--,75.15284,3.0,76.09491,0.9420667,76.195274,2.3079333,78.50588,8.0,78.50602,79.51187,4.3590264,79.51201,81.513954,--
11,11,3,1,3,4,8.500000e-01,1.0,10.0,--,--,--,81.533394,3.0,82.36359,0.8301962,82.46397,2.4198039,84.88629,1.0,84.886406,85.89203,4.3586407,85.892166,89.89392,--
12,12,4,2,1,2,1.700000e+00,1.0,11.0,--,--,--,90.092804,2.0,90.61366,0.5208592,90.71403,3.579141,94.29533,4.0,94.29543,95.30119,5.2083907,95.30133,97.30352,--
13,13,1,1,1,3,1.700000e+00,1.0,12.0,--,--,--,97.306496,2.0,98.145706,0.839209,98.246056,3.260791,101.50888,4.0,101.508995,102.512566,5.2060647,102.5127,105.514,--
14,14,1,1,1,2,8.500000e-01,1.0,13.0,--,--,--,105.5157,3.0,106.045654,0.5299495,106.1461,2.7200506,108.868805,7.0,108.86891,109.87256,4.3568535,109.872696,111.8746,--
15,15,1,1,1,4,1.700000e+00,1.0,14.0,--,--,--,111.87634,2.0,113.013664,1.1373272,113.11404,2.9626727,116.07852,3.0,116.078636,117.08238,5.206043,117.08252,121.08384,--
16,16,6,2,3,4,2.550000e+00,1.0,15.0,--,--,--,121.29193,3.0,121.813255,0.5213239,121.91361,4.428676,126.34421,3.0,126.344345,127.35838,6.0664577,127.35853,131.36069,--
17,17,4,2,1,3,2.550000e+00,1.0,16.0,--,--,--,131.56738,3.0,132.61266,1.0452689,132.71304,3.904731,136.6205,8.0,136.6206,137.62518,6.057802,137.62532,140.6273,--
18,18,4,2,1,4,8.500000e-01,1.0,17.0,--,--,--,140.82999,2.0,142.69571,1.8657157,142.79608,1.3842843,144.18211,4.0,144.18222,145.18568,4.3556933,145.18584,149.18904,--
19,19,5,2,2,3,1.700000e+00,1.0,18.0,--,--,--,149.39313,2.0,150.12956,0.7364367,150.22993,3.3635633,153.59663,5.0,153.59674,154.6019,5.2087617,154.60204,157.60466,--
20,20,6,2,3,3,1.700000e+00,1.0,19.0,--,--,--,157.80219,2.0,158.42906,0.6268731,158.52943,3.473127,162.00473,7.0,162.00485,163.01033,5.208144,163.01047,166.01242,--
21,21,1,1,1,1,2.550000e+00,1.0,20.0,--,--,--,166.01573,2.0,166.54646,0.5307337,166.64688,4.419266,171.0685,2.0,171.06862,172.08922,6.07349,172.08937,173.09091,--
22,22,6,2,3,4,2.550000e+00,1.0,21.0,--,--,--,173.2966,2.0,174.23001,0.9334021,174.33038,4.0165977,178.34946,8.0,178.34958,179.35411,6.0575056,179.35426,183.3565,--
23,23,2,1,2,4,8.500000e-01,1.0,22.0,--,--,--,183.35971,3.0,183.99629,0.6365859,184.0967,2.613414,186.71268,5.0,186.7128,187.71753,4.3578143,187.71767,191.71979,--
24,24,2,1,2,1,1.700000e+00,1.0,23.0,--,--,--,191.72147,2.0,192.24663,0.5251553,192.347,3.5748446,195.92372,5.0,195.92386,196.92847,5.206988,196.92874,197.93129,--
25,25,4,2,1,3,2.550000e+00,1.0,24.0,--,--,--,198.1425,2.0,198.88017,0.7376773,198.98053,4.2123227,203.19514,4.0,203.19527,204.20117,6.0586786,204.20131,207.20279,--
26,26,1,1,1,4,2.550000e+00,1.0,25.0,--,--,--,207.21425,2.0,207.52982,0.3155684,207.6302,4.6344314,212.26773,4.0,212.26787,213.27272,6.0584793,213.27286,217.2746,--
27,27,6,2,3,1,8.500000e-01,1.0,26.0,--,--,--,217.4798,2.0,218.01381,0.5340028,218.11417,2.7159972,220.83238,8.0,220.83252,221.83867,4.3588576,221.8388,222.84094,--
28,28,4,2,1,4,2.550000e+00,1.0,27.0,--,--,--,223.04027,2.0,224.08055,1.0402737,224.18091,3.9097264,228.09354,1.0,228.09366,229.09822,6.0579405,229.09836,233.10089,--
29,29,6,2,3,2,8.500000e-01,1.0,28.0,--,--,--,233.30388,3.0,233.92993,0.6260396,234.03029,2.6239605,236.65602,3.0,236.65616,237.66194,4.3580537,237.6621,239.66463,--
30,30,4,2,1,2,1.700000e+00,1.0,29.0,--,--,--,239.87465,3.0,240.91388,1.0392349,241.01427,3.060765,244.07721,7.0,244.07732,245.08221,5.2075567,245.08235,247.08443,--
31,31,6,2,3,4,1.700000e+00,1.0,30.0,--,--,--,247.30281,2.0,248.24722,0.9444182,248.34758,3.1555817,251.50543,7.0,251.50554,252.53143,5.228628,252.53159,256.5328,--
32,32,3,1,3,1,8.500000e-01,1.0,31.0,--,--,--,256.536,3.0,257.38095,0.8449397,257.48135,2.4050603,259.88953,4.0,259.88965,260.8932,4.3571725,260.8933,261.89584,--
33,33,5,2,2,3,8.500000e-01,1.0,32.0,--,--,--,262.09937,3.0,262.9308,0.8313964,263.03113,2.4186037,265.4532,5.0,265.4533,266.45905,4.359678,266.45923,269.46188,--
34,34,2,1,2,3,2.550000e+00,1.0,33.0,--,--,--,269.46515,3.0,270.61426,1.1491297,270.71466,3.8008704,274.51846,5.0,274.5186,275.52325,6.058113,275.5234,278.52594,--
35,35,1,1,1,1,2.550000e+00,1.0,34.0,--,--,--,278.52762,3.0,279.16397,0.6363676,279.26434,4.3136325,283.57993,8.0,283.58002,284.58557,6.057958,284.58572,285.58752,--
36,36,3,1,3,4,8.500000e-01,1.0,35.0,--,--,--,285.58932,3.0,286.43124,0.8419286,286.53165,2.4080715,288.9434,4.0,288.9435,289.95316,4.363843,289.9533,293.9548,--
