TrialNumber,Trialn,TrialType,Partner,Feedback,ITI,ISI,ran,order,studyStart,InitFixOnset,InitFixOffset,decision_onset,resp,resp_onset,rt,ISI_onset,isi_for_trial,ISI_offset,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset,final_fix_offset
1,1,2,1,2,3,1.700000e+00,1.0,0.0,3.3001415e-06,0.0048712,4.005573,4.0200357,3.0,5.9419513,1.9219155,6.042349,2.1780846,8.225945,5.0,8.226097,9.236416,5.21638,9.236534,12.241349,--
2,2,5,2,2,3,2.550000e+00,1.0,1.0,--,--,--,12.504481,2.0,13.708512,1.2040306,13.808814,3.7459693,17.558563,5.0,17.558699,18.56446,6.05998,18.56456,21.56799,--
3,3,4,2,1,4,1.700000e+00,1.0,2.0,--,--,--,21.907988,0.0,24.35912,2.4511318,24.459406,1.6488682,26.112188,999.0,26.11231,27.122183,5.2141953,27.122288,31.127083,--
4,4,6,2,3,4,1.700000e+00,1.0,3.0,--,--,--,31.542488,0.0,33.995327,2.4528399,34.095665,1.6471602,35.74577,999.0,35.74588,36.75105,5.20856,36.751144,40.75655,--
5,5,1,1,1,2,8.500000e-01,1.0,4.0,--,--,--,40.770466,0.0,43.219387,2.4489229,43.319695,0.8010771,44.125256,999.0,44.12537,45.130627,4.3601604,45.13073,47.13629,--
6,6,5,2,2,3,1.700000e+00,1.0,5.0,--,--,--,47.51388,0.0,49.97197,2.4580867,50.072266,1.6419133,51.71967,999.0,51.719788,52.725334,5.211452,52.72545,55.731216,--
7,7,1,1,1,1,2.550000e+00,1.0,6.0,--,--,--,55.74973,3.0,57.15762,1.4078912,57.258026,3.542109,60.805225,8.0,60.805355,61.817772,6.0680423,61.81787,62.822586,--
8,8,3,1,3,3,8.500000e-01,1.0,7.0,--,--,--,62.82436,0.0,65.2542,2.4298468,65.3545,0.8201532,66.17948,999.0,66.1796,67.18804,4.363681,67.18815,70.1935,--
9,9,1,1,1,4,1.700000e+00,1.0,8.0,--,--,--,70.19535,3.0,71.49162,1.2962738,71.59197,2.8037262,74.40122,7.0,74.40135,75.4099,5.2145452,75.41,79.41484,--
10,10,6,2,3,4,2.550000e+00,1.0,9.0,--,--,--,79.62582,2.0,81.24106,1.6152374,81.341354,3.3347628,84.68087,7.0,84.680984,85.690605,6.0647845,85.69071,89.6946,--
