TrialNumber,Trialn,TrialType,Partner,Feedback,ITI,ISI,ran,order,studyStart,InitFixOnset,InitFixOffset,decision_onset,resp,resp_onset,rt,ISI_onset,isi_for_trial,ISI_offset,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset,final_fix_offset
1,1,3,1,3,2,2.550000e+00,1.0,0.0,3.0999654e-06,0.0104471,4.011372,4.017675,2.0,4.542014,0.5243393,4.6423526,4.4256606,9.070151,8.0,9.070293,10.0777645,6.06009,10.077928,12.079395,--
2,2,6,2,3,4,1.700000e+00,1.0,1.0,--,--,--,12.276315,3.0,12.808778,0.5324627,12.9090605,3.5675373,16.479113,2.0,16.479223,17.484879,5.2085624,17.485018,21.487892,--
3,3,1,1,1,4,2.550000e+00,1.0,2.0,--,--,--,21.492313,2.0,21.90892,0.4166066,22.009243,4.5333934,26.545067,4.0,26.545172,27.552637,6.0603237,27.552765,31.554543,--
4,4,1,1,1,4,2.550000e+00,1.0,3.0,--,--,--,31.55625,2.0,32.07663,0.52038,32.176918,4.42962,36.608757,2.0,36.608864,37.6135,6.0572486,37.613625,41.6167,--
5,5,2,1,2,4,8.500000e-01,1.0,4.0,--,--,--,41.618294,2.0,42.142685,0.5243938,42.243034,2.7256062,44.970825,5.0,44.97095,45.98283,4.3645363,45.98296,49.984245,--
6,6,2,1,2,2,1.700000e+00,1.0,5.0,--,--,--,49.98599,2.0,50.509186,0.5231937,50.609596,3.5768063,54.189545,5.0,54.18966,55.19434,5.2083488,55.19447,57.19597,--
7,7,4,2,1,1,1.700000e+00,1.0,6.0,--,--,--,57.386223,3.0,58.009285,0.6230624,58.10961,3.4769375,61.588726,8.0,61.588837,62.594357,5.208132,62.59449,63.597397,--
8,8,5,2,2,1,8.500000e-01,1.0,7.0,--,--,--,63.79269,3.0,64.42599,0.6332932,64.52634,2.6167068,67.144615,5.0,67.14473,68.14932,4.35663,68.14945,69.150764,--
9,9,3,1,3,1,8.500000e-01,1.0,8.0,--,--,--,69.15391,2.0,69.67623,0.5223239,69.77651,2.7276762,72.506454,9.0,72.50656,73.51304,4.3591294,73.51317,74.514725,--
10,10,2,1,2,2,1.700000e+00,1.0,9.0,--,--,--,74.516396,2.0,75.04289,0.5264977,75.14317,3.5735023,78.719246,5.0,78.71935,79.732086,5.2156906,79.732216,81.73422,--
11,11,3,1,3,1,1.700000e+00,1.0,10.0,--,--,--,81.73589,2.0,82.259605,0.5237055,82.35992,3.5762944,85.938995,7.0,85.9391,86.94618,5.2102847,86.94631,87.94807,--
12,12,6,2,3,1,2.550000e+00,1.0,11.0,--,--,--,88.14336,3.0,88.775986,0.6326244,88.87633,4.3173757,93.19699,4.0,93.197105,94.20747,6.064113,94.20761,95.20906,--
13,13,3,1,3,3,2.550000e+00,1.0,12.0,--,--,--,95.21199,2.0,95.84267,0.6306808,95.94295,4.3193192,100.26431,6.0,100.26443,101.27022,6.0582275,101.270386,104.27235,--
14,14,1,1,1,4,2.550000e+00,1.0,13.0,--,--,--,104.27397,2.0,104.79368,0.5197112,104.89395,4.430289,109.32617,2.0,109.32628,110.33253,6.0585628,110.332664,114.3349,--
15,15,4,2,1,4,8.500000e-01,1.0,14.0,--,--,--,114.53255,3.0,115.25993,0.7273879,115.36024,2.522612,117.88587,8.0,117.88599,118.89828,4.3657303,118.89841,122.89999,--
16,16,1,1,1,2,2.550000e+00,1.0,15.0,--,--,--,122.903015,2.0,123.526375,0.6233617,123.626686,4.326638,127.95453,2.0,127.95464,128.95937,6.0563493,128.95949,130.96104,--
17,17,1,1,1,1,1.700000e+00,1.0,16.0,--,--,--,130.96274,2.0,131.59341,0.6306662,131.6937,3.469334,135.16519,3.0,135.16531,136.1712,5.2084575,136.17133,137.17476,--
18,18,4,2,1,1,8.500000e-01,1.0,17.0,--,--,--,137.37263,3.0,138.11044,0.7378148,138.21074,2.512185,140.72563,7.0,140.72574,141.72943,4.3567924,141.72957,142.73201,--
19,19,3,1,3,4,8.500000e-01,1.0,18.0,--,--,--,142.73499,2.0,143.46062,0.7256184,143.56096,2.5243816,146.088,7.0,146.0881,147.0936,4.3586125,147.09373,151.09512,--
20,20,5,2,2,4,2.550000e+00,1.0,19.0,--,--,--,151.2899,3.0,152.0273,0.7374024,152.12761,4.2125974,156.34271,5.0,156.34282,157.35619,6.0662894,157.35631,161.35759,--
21,21,1,1,1,1,1.700000e+00,1.0,20.0,--,--,--,161.36078,2.0,161.99362,0.6328363,162.09398,3.4671638,165.56375,2.0,165.56386,166.56966,5.2088637,166.56982,167.57253,--
22,22,6,2,3,1,2.550000e+00,1.0,21.0,--,--,--,167.76292,3.0,168.2941,0.5311711,168.39438,4.418829,172.81496,2.0,172.81506,173.81966,6.0567336,173.8198,174.82254,--
23,23,1,1,1,3,8.500000e-01,1.0,22.0,--,--,--,174.82542,2.0,175.56099,0.7355696,175.66135,2.5144303,178.17886,2.0,178.17897,179.18417,4.35874,179.1843,182.18587,--
