TrialNumber,Trialn,TrialType,Partner,Feedback,ITI,ISI,ran,order,studyStart,InitFixOnset,InitFixOffset,decision_onset,resp,resp_onset,rt,ISI_onset,isi_for_trial,ISI_offset,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset,final_fix_offset
1,1,1,1,1,4,2.550000e+00,1.0,0.0,2.4999026e-06,0.0108506,4.010849,4.018657,2.0,4.5499663,0.5313089,4.650375,4.418691,9.07266,1.0,9.072801,10.0819845,6.0633273,10.082178,14.084241,--
2,2,4,2,1,3,8.500000e-01,1.0,1.0,--,--,--,14.291278,3.0,14.716656,0.4253778,14.817008,2.8246222,17.64451,9.0,17.644627,18.650337,4.3590593,18.65047,21.652355,--
3,3,6,2,3,1,2.550000e+00,1.0,2.0,--,--,--,21.848015,3.0,22.368952,0.5209369,22.469246,4.4290633,26.901155,2.0,26.901272,27.908106,6.060091,27.908237,28.91065,--
4,4,5,2,2,1,8.500000e-01,1.0,3.0,--,--,--,29.103975,3.0,29.733095,0.629119,29.83344,2.620881,32.456745,5.0,32.456932,33.465008,4.3610334,33.465137,34.46643,--
5,5,1,1,1,4,2.550000e+00,1.0,4.0,--,--,--,34.4703,2.0,35.099968,0.6296725,35.200325,4.3203273,39.523182,4.0,39.523296,40.53062,6.0603247,40.530758,44.533905,--
6,6,1,1,1,3,8.500000e-01,1.0,5.0,--,--,--,44.535583,2.0,45.067013,0.5314282,45.16735,2.718572,47.88803,2.0,47.88814,48.891872,4.3562894,48.892002,51.893974,--
7,7,6,2,3,1,2.550000e+00,1.0,6.0,--,--,--,52.10468,3.0,52.83371,0.7290312,52.934,4.2209687,57.157604,4.0,57.157715,58.16245,6.0577683,58.162575,59.16415,--
8,8,4,2,1,4,2.550000e+00,1.0,7.0,--,--,--,59.360615,3.0,59.98348,0.6228649,60.083755,4.327135,64.41324,7.0,64.41336,65.42256,6.061946,65.42269,69.42476,--
9,9,3,1,3,1,1.700000e+00,1.0,8.0,--,--,--,69.427704,2.0,69.85097,0.4232616,69.9513,3.6767385,73.629974,6.0,73.63009,74.6369,5.2092004,74.63704,75.63976,--
10,10,3,1,3,3,8.500000e-01,1.0,9.0,--,--,--,75.641426,2.0,76.367256,0.7258248,76.46759,2.5241752,78.99418,7.0,78.994286,79.997925,4.356493,79.99805,83.0008,--
11,11,6,2,3,4,1.700000e+00,1.0,10.0,--,--,--,83.21056,2.0,83.734055,0.5234902,83.83437,3.5765097,87.41353,6.0,87.41364,88.429504,5.2189393,88.429634,92.4309,--
12,12,6,2,3,2,1.700000e+00,1.0,11.0,--,--,--,92.62446,3.0,93.35079,0.7263326,93.451126,3.3736675,96.82753,2.0,96.827644,97.8316,5.207141,97.83173,99.83354,--
13,13,5,2,2,2,1.700000e+00,1.0,12.0,--,--,--,100.028145,3.0,100.76783,0.7396886,100.86813,3.3603115,104.231186,5.0,104.2313,105.23661,5.2084684,105.23675,107.238266,--
14,14,4,2,1,4,2.550000e+00,1.0,13.0,--,--,--,107.44352,3.0,108.28442,0.8408966,108.38476,4.109103,112.49709,8.0,112.49721,113.506165,6.0626454,113.5063,117.507675,--
15,15,4,2,1,2,2.550000e+00,1.0,14.0,--,--,--,117.71731,3.0,118.451035,0.7337205,118.551414,4.2162795,122.771255,6.0,122.77137,123.77612,6.0588136,123.77625,125.77822,--
16,16,2,1,2,4,8.500000e-01,1.0,15.0,--,--,--,125.78145,2.0,127.03418,1.2527308,127.134476,1.9972692,129.1338,5.0,129.13391,130.13844,4.356995,130.13858,134.1409,--
17,17,2,1,2,2,1.700000e+00,1.0,16.0,--,--,--,134.14261,2.0,134.98499,0.8423769,135.08533,3.2576232,138.34624,5.0,138.34636,139.3664,5.2237854,139.36653,141.36969,--
18,18,6,2,3,3,2.550000e+00,1.0,17.0,--,--,--,141.56586,3.0,142.30138,0.7355298,142.40172,4.2144704,146.61894,3.0,146.61905,147.62558,6.059734,147.62572,150.62785,--
19,19,2,1,2,2,2.550000e+00,1.0,18.0,--,--,--,150.63101,2.0,151.15143,0.520411,151.25174,4.429589,155.68419,5.0,155.68431,156.68933,6.058319,156.68947,158.69081,--
20,20,3,1,3,1,1.700000e+00,1.0,19.0,--,--,--,158.69272,2.0,159.31764,0.6249167,159.41794,3.4750834,162.89551,8.0,162.89561,163.90015,5.2074246,163.90027,164.90228,--
21,21,3,1,3,1,1.700000e+00,1.0,20.0,--,--,--,164.90399,2.0,165.53452,0.630521,165.63484,3.469479,169.10606,8.0,169.10619,170.11093,5.2069445,170.11107,171.11325,--
22,22,1,1,1,2,2.550000e+00,1.0,21.0,--,--,--,171.11499,2.0,171.95183,0.8368412,172.05217,4.1131587,176.16782,2.0,176.16792,177.1764,6.0614114,177.17653,179.17784,--
23,23,4,2,1,1,1.700000e+00,1.0,22.0,--,--,--,179.37561,3.0,180.6179,1.2422829,180.71823,2.857717,183.57817,6.0,183.57828,184.58186,5.2062435,184.58199,185.58388,--
24,24,3,1,3,2,2.550000e+00,1.0,23.0,--,--,--,185.58684,2.0,186.51915,0.9323116,186.61949,4.0176883,190.63913,8.0,190.63924,191.64395,6.057106,191.64409,193.64598,--
25,25,3,1,3,4,8.500000e-01,1.0,24.0,--,--,--,193.64775,2.0,194.27083,0.6230712,194.37117,2.6269288,197.0002,7.0,197.00032,198.00423,4.3564744,198.00435,202.00638,--
26,26,4,2,1,1,1.700000e+00,1.0,25.0,--,--,--,202.20593,3.0,203.036,0.8300585,203.13628,3.2699416,206.4087,7.0,206.40883,207.41411,5.208177,207.41425,208.41583,--
27,27,4,2,1,1,8.500000e-01,1.0,26.0,--,--,--,208.61401,3.0,209.35223,0.7382151,209.45258,2.5117848,211.96661,7.0,211.96672,212.98227,4.3682594,212.9824,213.98373,--
28,28,1,1,1,2,1.700000e+00,1.0,27.0,--,--,--,213.98679,2.0,214.71867,0.7318781,214.81902,3.3681219,218.19014,1.0,218.19025,219.19508,5.2083,219.19522,221.1968,--
29,29,5,2,2,4,1.700000e+00,1.0,28.0,--,--,--,221.39412,3.0,222.2358,0.8416806,222.33614,3.2583194,225.59796,5.0,225.59808,226.60349,5.2093687,226.60362,230.60562,--
30,30,1,1,1,3,8.500000e-01,1.0,29.0,--,--,--,230.60863,2.0,231.23521,0.626581,231.33554,2.623419,233.96132,3.0,233.96143,234.96596,4.357324,234.96608,237.96774,--
31,31,2,1,2,2,1.700000e+00,1.0,30.0,--,--,--,237.96947,2.0,238.70238,0.732912,238.80272,3.367088,242.17226,5.0,242.17236,243.17752,5.208057,243.17766,245.17992,--
