feat,sub,ses,task,run,echo,confounds,space,roi,plot_group,contrast,safe_end_s,safe_mean,safe_peak,safe_tpeak,safe_auc_signed,safe_auc_pos,safe_auc_neg_abs,canon_mean,canon_peak,canon_tpeak,canon_auc_signed,value_at_6s
/home/tug87422/scratch/smithlab-shared/night-owls/derivatives/fsl/sub-104/ses-09/L1_sub-104_ses-09_task-sharedreward_model-1_type-act_run-2_space-mni_multi-echo_cnfds-tedana_unsmoothed_FIR.feat,104,9,sharedreward,2,multi-echo,tedana,mni,NAcc,sr_decision_partner_extra,Computer-Stranger,6.0,0.5515242558504738,20.788576126098636,1.615,3.309145535102843,65.52997211232781,62.22082657722497,-19.990298982567094,-4.486148894755826,8.0,-79.96119593026837,-23.297777801844354
/home/tug87422/scratch/smithlab-shared/night-owls/derivatives/fsl/sub-104/ses-09/L1_sub-104_ses-09_task-sharedreward_model-1_type-act_run-2_space-mni_multi-echo_cnfds-tedana_unsmoothed_FIR.feat,104,9,sharedreward,2,multi-echo,tedana,mni,NAcc,sr_outcome_primary,Reward-Neutral,6.0,18.885246953955004,65.24867820739746,3.23,113.31148172373003,147.4858340191841,34.17435229545408,-9.268030339085465,25.11041198943052,4.0,-37.07212135634186,-13.759338217992163
/home/tug87422/scratch/smithlab-shared/night-owls/derivatives/fsl/sub-104/ses-09/L1_sub-104_ses-09_task-sharedreward_model-1_type-act_run-2_space-mni_multi-echo_cnfds-tedana_unsmoothed_FIR.feat,104,9,sharedreward,2,multi-echo,tedana,mni,NAcc,sr_outcome_primary,Punish-Neutral,6.0,31.946587416177806,74.0916223526001,3.23,191.67952449706684,239.25362517264972,47.57410067558288,-0.005047962764292313,41.49965047836304,6.46,-0.020191851057169252,19.8955492028511
/home/tug87422/scratch/smithlab-shared/night-owls/derivatives/fsl/sub-104/ses-09/L1_sub-104_ses-09_task-sharedreward_model-1_type-act_run-2_space-mni_multi-echo_cnfds-tedana_unsmoothed_FIR.feat,104,9,sharedreward,2,multi-echo,tedana,mni,NAcc,sr_outcome_primary,Reward-Punish,6.0,-13.061340462222804,15.412105560302734,4.845,-78.36804277333682,21.345766201019288,99.71380897435611,-9.262982376321176,34.75223681801248,8.0,-37.051929505284704,-33.65488742084327
/home/tug87422/scratch/smithlab-shared/night-owls/derivatives/fsl/sub-104/ses-09/L1_sub-104_ses-09_task-sharedreward_model-1_type-act_run-2_space-mni_single-echo_cnfds-fmriprep_unsmoothed_FIR.feat,104,9,sharedreward,2,single-echo,fmriprep,mni,NAcc,sr_decision_partner_extra,Computer-Stranger,6.0,-17.33454477055154,33.44264122280912,6.0,-104.00726862330923,19.31312530617227,123.3203939294815,16.55227497040026,47.65478801727295,6.46,66.20909988160103,33.44264122280912
/home/tug87422/scratch/smithlab-shared/night-owls/derivatives/fsl/sub-104/ses-09/L1_sub-104_ses-09_task-sharedreward_model-1_type-act_run-2_space-mni_single-echo_cnfds-fmriprep_unsmoothed_FIR.feat,104,9,sharedreward,2,single-echo,fmriprep,mni,NAcc,sr_outcome_primary,Reward-Neutral,6.0,-19.08549684021372,34.57667541503906,0.0,-114.51298104128233,44.95345265865326,159.46643369993558,-5.295972311360182,12.298041343688961,4.845,-21.183889245440728,-5.1816489039559865
/home/tug87422/scratch/smithlab-shared/night-owls/derivatives/fsl/sub-104/ses-09/L1_sub-104_ses-09_task-sharedreward_model-1_type-act_run-2_space-mni_single-echo_cnfds-fmriprep_unsmoothed_FIR.feat,104,9,sharedreward,2,single-echo,fmriprep,mni,NAcc,sr_outcome_primary,Punish-Neutral,6.0,28.434850232645456,107.43512725830078,0.0,170.60910139587273,186.98491085555898,16.37580945968628,34.33324984200231,128.63356240098327,8.0,137.33299936800924,10.26542891511238
/home/tug87422/scratch/smithlab-shared/night-owls/derivatives/fsl/sub-104/ses-09/L1_sub-104_ses-09_task-sharedreward_model-1_type-act_run-2_space-mni_single-echo_cnfds-fmriprep_unsmoothed_FIR.feat,104,9,sharedreward,2,single-echo,fmriprep,mni,NAcc,sr_outcome_primary,Reward-Punish,6.0,-47.520347072859174,4.706748962402344,3.23,-285.12208243715503,7.601399574279785,292.72348201143484,-39.62922215336249,-2.289919873878316,4.0,-158.51688861344996,-15.447077819068367
/home/tug87422/scratch/smithlab-shared/night-owls/derivatives/fsl/sub-104/ses-09/L1_sub-104_ses-09_task-sharedreward_model-1_type-act_run-2_space-mni_single-echo_cnfds-tedana_unsmoothed_FIR.feat,104,9,sharedreward,2,single-echo,tedana,mni,NAcc,sr_decision_partner_extra,Computer-Stranger,6.0,0.2500233047099532,22.599495887756348,1.615,1.5001398282597194,78.82707755446434,77.32693772620462,-31.840318330895887,-9.826430653639997,4.0,-127.36127332358355,-26.13020297986435
/home/tug87422/scratch/smithlab-shared/night-owls/derivatives/fsl/sub-104/ses-09/L1_sub-104_ses-09_task-sharedreward_model-1_type-act_run-2_space-mni_single-echo_cnfds-tedana_unsmoothed_FIR.feat,104,9,sharedreward,2,single-echo,tedana,mni,NAcc,sr_outcome_primary,Reward-Neutral,6.0,13.67836524884275,94.30490112304688,3.23,82.0701914930565,185.06407931327817,102.99388782022169,-17.998459456179162,18.305810497272116,4.0,-71.99383782471665,-22.22722098111368
/home/tug87422/scratch/smithlab-shared/night-owls/derivatives/fsl/sub-104/ses-09/L1_sub-104_ses-09_task-sharedreward_model-1_type-act_run-2_space-mni_single-echo_cnfds-tedana_unsmoothed_FIR.feat,104,9,sharedreward,2,single-echo,tedana,mni,NAcc,sr_outcome_primary,Punish-Neutral,6.0,27.732694262539265,88.3179702758789,0.0,166.39616557523559,237.49601370260072,71.0998481273651,4.229390862041576,55.339646339416504,6.46,16.917563448166305,24.955356984684713
/home/tug87422/scratch/smithlab-shared/night-owls/derivatives/fsl/sub-104/ses-09/L1_sub-104_ses-09_task-sharedreward_model-1_type-act_run-2_space-mni_single-echo_cnfds-tedana_unsmoothed_FIR.feat,104,9,sharedreward,2,single-echo,tedana,mni,NAcc,sr_outcome_primary,Reward-Punish,6.0,-14.054329013696522,9.00955581665039,3.23,-84.32597408217913,14.550432643890378,98.8764067260695,-22.227850318220742,31.457851764218397,8.0,-88.91140127288297,-47.182577965798394
/home/tug87422/scratch/smithlab-shared/night-owls/derivatives/fsl/sub-104/ses-10/L1_sub-104_ses-10_task-mid_model-1_type-act_run-1_space-mni_multi-echo_cnfds-fmriprep_unsmoothed_FIR.feat,104,10,mid,1,multi-echo,fmriprep,mni,NAcc,mid_anticipation_primary,Reward-Neutral,5.0,-1.5965987850506977,12.62265396118164,3.23,-7.9829939252534885,20.385586147308345,28.368580072561837,16.701721026786483,46.312885305460775,8.0,66.80688410714593,15.321248170022994
/home/tug87422/scratch/smithlab-shared/night-owls/derivatives/fsl/sub-104/ses-10/L1_sub-104_ses-10_task-mid_model-1_type-act_run-1_space-mni_multi-echo_cnfds-fmriprep_unsmoothed_FIR.feat,104,10,mid,1,multi-echo,fmriprep,mni,NAcc,mid_feedback_extra,Positive-Negative,6.0,13.717435631621612,59.343679428100586,1.615,82.30461378972967,96.19165396690369,13.887040177174026,15.99440022444578,87.55919306492292,8.0,63.97760089778312,-0.6458493696277725
