sub,ses,run,task,echo,cnfds,plot_group,condition,safe_end_s,safe_mean,safe_peak,safe_tpeak,safe_auc_signed,safe_auc_pos,safe_auc_neg_abs,canon_mean,canon_peak,canon_tpeak,canon_auc_signed,value_at_6s
101,1,1,mid,multi-echo,fmriprep,mid_anticipation_primary,Reward,5.025999999999982,0.004397268211631473,0.0513272576006625,2.999999999999968,0.022100670031659705,0.116561296327904,0.09446062629624433,0.04858340200703421,0.0669623954145591,6.199999999999957,0.19433360802813443,0.06146944595910547
101,1,1,mid,multi-echo,fmriprep,mid_anticipation_primary,Neutral,5.025999999999982,-0.05406799831275504,-0.0164719680811114,0.1999999999999779,-0.27174575951990587,0.0,0.27174575951990587,-0.03318512285414938,-0.0079112413914465,7.99999999999995,-0.13274049141659588,-0.028070836710660088
101,1,1,mid,multi-echo,fmriprep,mid_feedback_extra,Positive,5.993000000000023,0.005143728858654449,0.0248294402032933,3.299999999999967,0.03082636704991623,0.06032755922901162,0.029501192179095387,0.023724480700324367,0.0476633543742989,7.899999999999951,0.09489792280129629,0.01688758632005686
101,1,1,mid,multi-echo,fmriprep,mid_feedback_extra,Negative,5.993000000000023,-0.05832951483965622,0.0038890577760829,3.299999999999967,-0.3495687824340611,0.0008418767630066369,0.3504106591970677,-0.12221279787886688,-0.05095596592048333,4.0,-0.4888511915154614,-0.11772586241175313
101,1,1,mid,multi-echo,tedana,mid_anticipation_primary,Reward,5.025999999999982,-0.0018929254523152462,0.0498427397541462,2.8999999999999684,-0.009513843323336393,0.0575965355438454,0.06711037886718178,0.019479407678912243,0.055940381284922,7.399999999999952,0.077917630715648,0.019873657498941148
101,1,1,mid,multi-echo,tedana,mid_anticipation_primary,Neutral,5.025999999999982,-0.030846052872671628,0.0149141916521038,1.299999999999974,-0.15503226173804704,0.009190261111008758,0.1642225228490558,-0.029011215754726528,-0.0148347905108999,6.099999999999957,-0.11604486301890467,-0.018180752193238874
101,1,1,mid,multi-echo,tedana,mid_feedback_extra,Positive,5.993000000000023,-0.009196834130098547,0.0287670318185264,5.699999999999958,-0.05511662694168081,0.033485193978591656,0.08860182092027248,0.023597270518625438,0.0418542639222846,6.999999999999954,0.09438908207450057,0.025770538489448686
101,1,1,mid,multi-echo,tedana,mid_feedback_extra,Negative,5.993000000000023,-0.050473034041492996,0.0278034077535949,3.299999999999967,-0.3024848930106687,0.01714096476388917,0.31962585777455793,-0.09157155839865423,-0.027772322157547425,4.0,-0.3662862335946124,-0.08703624108562089
101,1,1,mid,single-echo,fmriprep,mid_anticipation_primary,Reward,5.025999999999982,-0.027568922768627203,0.0296770268044961,5.025999999999982,-0.13856140583511983,0.02799661251015853,0.16655801834527834,0.03462895888050693,0.0542793029879691,6.199999999999957,0.138515835522026,0.04844143915386974
101,1,1,mid,single-echo,fmriprep,mid_anticipation_primary,Neutral,5.025999999999982,-0.049382765468666746,0.0086010975154466,4.799999999999962,-0.24819777924551817,0.006172181567352536,0.25436996081287067,0.02157921572032569,0.0952325156054025,7.99999999999995,0.08631686288130169,0.0015867962303260012
