TrialNumber,Trialn,TrialType,Partner,Feedback,ITI,ISI,ran,order,studyStart,InitFixOnset,InitFixOffset,decision_onset,resp,resp_onset,rt,ISI_onset,isi_for_trial,ISI_offset,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset,final_fix_offset
1,1,4,2,1,4,2.550000e+00,1.0,0.0,2.4999026e-06,0.0108321,4.0115027,4.218545,2.0,5.055668,0.8371227,5.1560774,4.1128774,9.271082,4.0,9.27123,10.292111,6.0735664,10.29228,14.293957,--
2,2,6,2,3,2,1.700000e+00,1.0,1.0,--,--,--,14.485785,3.0,14.805339,0.3195543,14.90569,3.7804458,18.68844,1.0,18.688564,19.696104,5.2103195,19.69624,21.697779,--
3,3,1,1,1,2,1.700000e+00,1.0,2.0,--,--,--,21.705498,3.0,22.84176,1.1362627,22.942148,2.9637372,25.907923,7.0,25.908031,26.914818,5.2093205,26.914959,28.91736,--
4,4,4,2,1,1,2.550000e+00,1.0,3.0,--,--,--,29.12106,3.0,29.339445,0.2183841,29.439743,4.731616,34.17397,9.0,34.174084,35.180122,6.0590625,35.180256,36.181976,--
5,5,6,2,3,4,2.550000e+00,1.0,4.0,--,--,--,36.38334,3.0,36.705532,0.3221933,36.80583,4.6278067,41.434994,1.0,41.435104,42.45372,6.070379,42.45385,46.456287,--
6,6,5,2,2,2,1.700000e+00,1.0,5.0,--,--,--,46.648663,2.0,47.58909,0.9404254,47.68936,3.1595745,50.850956,5.0,50.851067,51.857956,5.209293,51.858086,53.859962,--
7,7,3,1,3,4,2.550000e+00,1.0,6.0,--,--,--,53.862946,2.0,54.189228,0.3262838,54.289543,4.6237164,58.914974,9.0,58.915085,59.928696,6.0657516,59.928825,63.93012,--
8,8,4,2,1,2,1.700000e+00,1.0,7.0,--,--,--,64.12351,2.0,64.54059,0.4170813,64.64088,3.6829188,68.32592,4.0,68.326035,69.33072,5.207208,69.33085,71.33233,--
9,9,3,1,3,3,2.550000e+00,1.0,8.0,--,--,--,71.33534,2.0,71.85637,0.5210204,71.95667,4.4289794,76.38684,8.0,76.38695,77.40063,6.0652785,77.40076,80.40206,--
10,10,3,1,3,3,8.500000e-01,1.0,9.0,--,--,--,80.403786,3.0,80.8232,0.4194089,80.92347,2.8305912,83.75697,2.0,83.75708,84.76229,4.3585043,84.76242,87.76466,--
11,11,1,1,1,2,1.700000e+00,1.0,10.0,--,--,--,87.766304,2.0,88.8069,1.0405983,88.90724,3.0594018,91.969,1.0,91.96912,92.97412,5.207817,92.97426,94.97572,--
12,12,1,1,1,4,8.500000e-01,1.0,11.0,--,--,--,94.9774,2.0,95.506905,0.5295,95.60727,2.7205,98.33093,4.0,98.33105,99.33472,4.3573127,99.33485,103.33701,--
13,13,5,2,2,3,8.500000e-01,1.0,12.0,--,--,--,103.53279,3.0,103.85643,0.323634,103.9567,2.926366,106.88582,5.0,106.885925,107.890656,4.357863,107.890785,110.891945,--
14,14,4,2,1,3,2.550000e+00,1.0,13.0,--,--,--,111.083916,2.0,111.40656,0.3226482,111.50688,4.6273518,116.13594,2.0,116.13605,117.15008,6.0661654,117.15021,120.1516,--
15,15,4,2,1,3,2.550000e+00,1.0,14.0,--,--,--,120.34432,2.0,120.87376,0.5294362,120.97404,4.4205637,125.39596,3.0,125.39607,126.412766,6.0684466,126.412895,129.41492,--
16,16,4,2,1,4,8.500000e-01,1.0,15.0,--,--,--,129.60323,3.0,130.34053,0.7373183,130.44083,2.5126817,132.95569,8.0,132.9558,133.95988,4.3566675,133.96002,137.96307,--
17,17,5,2,2,2,8.500000e-01,1.0,16.0,--,--,--,138.15366,2.0,138.57394,0.4202787,138.67421,2.8297212,141.5053,5.0,141.5054,142.51004,4.356376,142.51016,144.51291,--
18,18,3,1,3,1,8.500000e-01,1.0,17.0,--,--,--,144.51598,2.0,144.94073,0.424754,145.04102,2.825246,147.8689,7.0,147.869,148.8737,4.3577275,148.87383,149.87581,--
19,19,6,2,3,4,1.700000e+00,1.0,18.0,--,--,--,150.0688,2.0,150.4911,0.4223004,150.59145,3.6776996,154.27101,6.0,154.27112,155.27682,5.2080245,155.27695,159.27847,--
20,20,6,2,3,2,8.500000e-01,1.0,19.0,--,--,--,159.47153,2.0,159.79044,0.3189109,159.89072,2.9310892,162.82394,6.0,162.82404,163.82808,4.356546,163.8282,165.82967,--
21,21,1,1,1,1,2.550000e+00,1.0,20.0,--,--,--,165.83253,2.0,166.35756,0.5250132,166.45787,4.424987,170.88496,4.0,170.88509,171.90605,6.0735064,171.90617,172.90791,--
22,22,4,2,1,1,8.500000e-01,1.0,21.0,--,--,--,173.09912,2.0,173.42404,0.3249105,173.52435,2.9250896,176.45184,2.0,176.45195,177.456,4.3568745,177.45613,178.45792,--
23,23,3,1,3,3,2.550000e+00,1.0,22.0,--,--,--,178.4609,2.0,178.89146,0.4305569,178.9918,4.519443,183.51347,6.0,183.5136,184.51889,6.0579796,184.51901,187.52103,--
24,24,3,1,3,3,1.700000e+00,1.0,23.0,--,--,--,187.52274,3.0,187.84088,0.3181375,187.94116,3.7818625,191.72528,4.0,191.72539,192.729,5.206265,192.72914,195.731,--
25,25,6,2,3,3,2.550000e+00,1.0,24.0,--,--,--,195.92044,2.0,196.24101,0.3205699,196.34131,4.6294303,200.9719,8.0,200.972,201.97574,6.0553036,201.97588,204.97731,--
26,26,6,2,3,1,8.500000e-01,1.0,25.0,--,--,--,205.16943,3.0,205.3916,0.222167,205.49191,3.027833,208.52174,4.0,208.52187,209.52608,4.35664,209.52621,210.52788,--
27,27,1,1,1,4,8.500000e-01,1.0,26.0,--,--,--,210.53088,2.0,211.25821,0.7273237,211.3585,2.5226762,213.88326,4.0,213.88336,214.90083,4.3699455,214.90097,218.90295,--
28,28,1,1,1,1,2.550000e+00,1.0,27.0,--,--,--,218.90457,2.0,219.42488,0.5203212,219.52518,4.429679,223.95702,2.0,223.95714,224.96083,6.0562577,224.96095,225.96288,--
29,29,5,2,2,4,2.550000e+00,1.0,28.0,--,--,--,226.1568,2.0,226.57492,0.4181296,226.6752,4.5318704,231.20903,5.0,231.20914,232.21413,6.057338,232.21426,236.21587,--
30,30,6,2,3,4,1.700000e+00,1.0,29.0,--,--,--,236.40326,3.0,236.9253,0.5220299,237.02563,3.57797,240.60587,2.0,240.60597,241.61096,5.207697,241.6111,245.61293,--
31,31,6,2,3,2,1.700000e+00,1.0,30.0,--,--,--,245.8024,3.0,246.32526,0.5228677,246.42555,3.5771322,250.00586,4.0,250.00597,251.0104,5.208009,251.01053,253.01187,--
32,32,6,2,3,1,8.500000e-01,1.0,31.0,--,--,--,253.20372,2.0,253.82587,0.6221451,253.92615,2.6278548,256.55585,6.0,256.55597,257.55994,4.3562226,257.5601,258.56186,--
33,33,1,1,1,1,2.550000e+00,1.0,32.0,--,--,--,258.56488,2.0,259.29248,0.7276005,259.39285,4.2223997,263.6173,2.0,263.61743,264.637,6.072111,264.63715,265.63885,--
34,34,2,1,2,1,1.700000e+00,1.0,33.0,--,--,--,265.6405,2.0,265.9584,0.3178878,266.0587,3.7821121,269.84393,5.0,269.84402,270.84918,5.2086744,270.8493,271.85092,--
35,35,2,1,2,2,1.700000e+00,1.0,34.0,--,--,--,271.85257,2.0,272.17514,0.3225807,272.27545,3.7774193,276.05475,5.0,276.05487,277.05948,5.206917,277.05963,279.06082,--
36,36,3,1,3,3,2.550000e+00,1.0,35.0,--,--,--,279.0625,2.0,279.49307,0.4305705,279.59335,4.5194297,284.1149,9.0,284.115,285.1206,6.0580897,285.12073,288.1219,--
37,37,4,2,1,1,1.700000e+00,1.0,36.0,--,--,--,288.31345,2.0,288.74268,0.4292584,288.84305,3.6707416,292.51566,3.0,292.51578,293.52097,5.2075458,293.52112,294.52252,--
38,38,2,1,2,2,8.500000e-01,1.0,37.0,--,--,--,294.52548,2.0,295.2593,0.7338235,295.35956,2.5161765,297.87845,5.0,297.87857,298.88895,4.363467,298.88907,300.89087,--
39,39,1,1,1,2,8.500000e-01,1.0,38.0,--,--,--,300.89267,3.0,301.4116,0.5189261,301.51187,2.7310739,304.24585,6.0,304.24597,305.2506,4.3579283,305.25073,307.25278,--
40,40,5,2,2,1,1.700000e+00,1.0,39.0,--,--,--,307.4407,2.0,308.07565,0.6349589,308.17596,3.4650412,311.6439,5.0,311.644,312.64868,5.207996,312.64883,313.65067,--
41,41,2,1,2,2,2.550000e+00,1.0,40.0,--,--,--,313.65372,2.0,314.17612,0.5224046,314.2764,4.4275956,318.7054,5.0,318.70554,319.70993,6.056213,319.71005,321.71146,--
42,42,3,1,3,2,1.700000e+00,1.0,41.0,--,--,--,321.71317,2.0,322.24286,0.5296978,322.34314,3.5703022,325.91513,8.0,325.91522,326.91992,5.206766,326.92004,328.9215,--
43,43,4,2,1,4,8.500000e-01,1.0,42.0,--,--,--,329.11182,3.0,329.42648,0.3146611,329.52673,2.935339,332.46362,8.0,332.4637,333.47705,4.3652472,333.47717,337.47882,--
44,44,4,2,1,1,2.550000e+00,1.0,43.0,--,--,--,337.66727,2.0,337.9927,0.325438,338.093,4.624562,342.7193,3.0,342.71942,343.72293,6.055659,343.72305,344.72455,--
45,45,6,2,3,3,8.500000e-01,1.0,44.0,--,--,--,344.912,3.0,345.22638,0.3143919,345.32666,2.9356081,348.26364,1.0,348.26376,349.26834,4.3563585,349.2685,352.26984,--
46,46,3,1,3,1,1.700000e+00,1.0,45.0,--,--,--,352.2729,3.0,352.59286,0.3199861,352.69318,3.7800138,356.47574,4.0,356.47583,357.48093,5.20805,357.48105,358.48346,--
47,47,3,1,3,1,8.500000e-01,1.0,46.0,--,--,--,358.48517,3.0,359.31152,0.8263533,359.4118,2.4236467,361.83786,4.0,361.83795,362.84158,4.3564043,362.8417,363.84375,--
