.thisTrialN,.stepSize,.intensity,time.onset,cue.color,cue_onset_time,cue_duration,isi_duration_int,isi_onset_time,isi_duration_act,.response,Target_Resp.rt,target_onset_time,target_duration,Trial.rewardType,Total_Earned,feedback_onset_time,feedback_duration,iti_int,iti_onset_time,iti_duration,time.global,time.nominal,time.trial,Total_Task_Duration,participant,session,run,date,expName,frameRate,
0,6,8.0,8.379977299831808,Blue,8.380481499712914,0.749076799955219,2.0,9.12985030002892,1.9999464000575244,1,0.25026100035756826,11.12987759988755,0.2633333333333333,1,0,11.650010500103235,0.9800327997654676,2.5,12.630285100080073,2.4999905000440776,15.1303316000849,15.11348079983145,6.749874500092119,,103,9,2,2025-06-09_19h53.49.089,MID1.0,60.09496201250295,
1,3,2.0,15.130372799932957,Blue,15.13075829995796,0.7488098000176251,2.5,15.879828999750316,2.5002635000273585,0,,18.380176399834454,0.16333333333333333,-1,0,18.910779200028628,0.9857327998615801,3.0,19.89674919983372,3.00013509998098,22.8969390001148,22.86348079983145,7.76620090007782,,103,9,2,2025-06-09_19h53.49.089,MID1.0,60.09496201250295,
2,3,5.0,22.89697049977258,Green,22.897360099945217,0.749032000079751,1.5,23.646635899785906,1.5001301001757383,1,0.20033749984577298,25.146851900033653,0.21333333333333332,1,1,25.682975799776614,0.980564699973911,2.0,26.663785600103438,1.9998333998955786,28.66367239970714,28.61348079983145,5.766332299914211,,103,9,2,2025-06-09_19h53.49.089,MID1.0,60.09496201250295,
3,3,5.0,28.663703099824488,Blue,28.66408589994535,0.7491178000345826,1.5,29.413448200095445,1.5000663995742798,0,,30.913596800062805,0.21333333333333332,-1,1,31.435346799902618,0.9776928001083434,3.0,32.41329649975523,3.000579500105232,35.41392999980599,35.36348079983145,6.749865600373596,,103,9,2,2025-06-09_19h53.49.089,MID1.0,60.09496201250295,
4,3,8.0,35.41396869998425,Blue,35.41436119982973,0.7488993001170456,2.0,36.16353440005332,1.999939899891615,1,0.2505530999042094,38.16356279980391,0.2633333333333333,1,1,38.68039109976962,0.9832762000150979,2.5,39.66394879994914,2.499812599737197,42.16378920013085,42.11348079983145,6.74944829987362,,103,9,2,2025-06-09_19h53.49.089,MID1.0,60.09496201250295,
5,3,8.0,42.16381879989058,Blue,42.16419839998707,0.7488917000591755,3.0,42.9133329000324,3.0001266999170184,1,0.25020569982007146,45.91354179987684,0.2633333333333333,1,1,46.41955429967493,0.9939908999949694,3.5,47.41381169995293,3.499924600124359,50.91379639972001,50.86348079983145,8.749617999885231,,103,9,2,2025-06-09_19h53.49.089,MID1.0,60.09496201250295,
6,2,5.0,50.913827300071716,Green,50.914217999670655,0.7491378001868725,3.0,51.66360000008717,2.9999841996468604,0,,54.66366590000689,0.21333333333333332,-1,1,55.172789599746466,0.9910439001396298,8.5,56.16408869996667,8.499926299788058,64.66407179972157,64.61348079983145,13.749873799737543,,103,9,2,2025-06-09_19h53.49.089,MID1.0,60.09496201250295,
7,2,7.0,64.66410270007327,Green,64.66448969999328,0.7491011000238359,1.5,65.41383339976892,1.5001338003203273,0,,66.91405599983409,0.24666666666666667,-1,1,67.44345430005342,0.9871795997023582,3.0,68.43091889983043,2.9998103003017604,71.43075909977779,71.36348079983145,6.766290000174195,,103,9,2,2025-06-09_19h53.49.089,MID1.0,60.09496201250295,
8,2,9.0,71.43079049978405,Blue,71.43117599980906,0.7488823998719454,3.0,72.1803067997098,3.0004830001853406,1,0.26683990005403757,75.18087159981951,0.28,1,1,75.69146020011976,0.9892022996209562,4.5,76.68091569980606,4.49982860032469,81.18080179998651,81.11348079983145,9.749646599870175,,103,9,2,2025-06-09_19h53.49.089,MID1.0,60.09496201250295,
9,2,9.0,81.18083419976756,Blue,81.18122439971194,0.749165500048548,2.0,81.93063549976796,2.000140500254929,1,0.2668822999112308,83.93085790006444,0.28,1,1,84.43947670003399,0.9913817998021841,2.5,85.43110590009019,2.4994850996881723,87.93061750009656,87.86348079983145,6.749413200188428,,103,9,2,2025-06-09_19h53.49.089,MID1.0,60.09496201250295,
10,1,7.0,87.93064669985324,Green,87.93102960009128,0.7494374997913837,1.5,88.68071290012449,1.5003025997430086,0,,90.181096999906,0.24666666666666667,-1,1,90.7064073998481,0.9910491998307407,7.0,91.69770079990849,6.999871199950576,98.69760099984705,98.61348079983145,10.766591500025243,,103,9,2,2025-06-09_19h53.49.089,MID1.0,60.09496201250295,
11,1,8.0,98.6976316999644,Green,98.69802099978551,0.7492320002056658,2.5,99.44751709979028,2.5001803003251553,1,0.25037960009649396,101.94778029993176,0.2633333333333333,1,2,102.48571630008519,0.9786842996254563,4.0,103.46464829985052,3.9997999002225697,107.4644764997065,107.36348079983145,8.766475100070238,,103,9,2,2025-06-09_19h53.49.089,MID1.0,60.09496201250295,
12,1,8.0,107.46450589969754,Blue,107.46488549979404,0.7492614001967013,2.5,108.21439149975777,2.500114900059998,1,0.2501571998000145,110.71463309973478,0.2633333333333333,1,2,111.24549359967932,0.9854054003953934,6.0,112.23114629974589,6.000069400295615,118.23127180011943,118.11348079983145,10.7664057998918,,103,9,2,2025-06-09_19h53.49.089,MID1.0,60.09496201250295,
13,1,7.0,118.23130249977112,Green,118.23170039989054,0.7491068001836538,2.0,118.98104880005121,2.0001932000741363,1,0.23362880013883114,120.98132780008018,0.24666666666666667,1,3,121.50509080011398,0.992796499747783,2.5,122.49817579984665,2.4998261998407543,124.99803029978648,124.86348079983145,6.7663493999280035,,103,9,2,2025-06-09_19h53.49.089,MID1.0,60.09496201250295,
14,1,7.0,124.99805920012295,Blue,124.9984399001114,0.749093699734658,2.5,125.74777349969372,2.4999634004198015,1,0.23375350004062057,128.24781590001658,0.24666666666666667,1,3,128.75517689995468,0.9929208997637033,3.0,129.74833930004388,2.9999243998900056,132.74831809988245,132.61348079983145,7.749897800385952,,103,9,2,2025-06-09_19h53.49.089,MID1.0,60.09496201250295,
15,1,6.0,132.74834869988263,Blue,132.74872829997912,0.7489102999679744,2.5,133.4978788997978,2.500417100265622,0,,135.99837819999084,0.23,-1,3,136.50752699980512,0.9905027002096176,3.0,137.49830320011824,2.9997825999744236,140.49814380006865,140.36348079983145,7.7494355998933315,,103,9,2,2025-06-09_19h53.49.089,MID1.0,60.09496201250295,
16,1,7.0,140.49817509995773,Green,140.49856369988993,0.7489288002252579,3.0,141.24774419981986,3.0001117000356317,1,0.2334714001044631,144.24793480010703,0.24666666666666667,1,4,144.76596429990605,0.9823210001923144,8.5,145.74852949986234,8.499593799933791,154.24815069977194,154.11348079983145,13.749607299920171,,103,9,2,2025-06-09_19h53.49.089,MID1.0,60.09496201250295,
17,1,7.0,154.24818049976602,Green,154.24856059998274,0.7490495997481048,1.5,154.99784719990566,1.500593500211835,0,,156.49852839997038,0.24666666666666667,-1,4,157.03726209979504,0.9772177003324032,3.0,158.01473779976368,3.0002681999467313,161.0150607000105,160.86348079983145,6.766519700177014,,103,9,2,2025-06-09_19h53.49.089,MID1.0,60.09496201250295,
18,1,8.0,161.0150921996683,Blue,161.01547299977392,0.7491119001060724,1.5,161.76482699997723,1.5001618000678718,1,0.25034060003235936,163.26507459999993,0.2633333333333333,1,4,163.79854989983141,0.9830037001520395,2.0,164.78179879998788,1.9998738998547196,166.78177639981732,166.61348079983145,5.766323000192642,,103,9,2,2025-06-09_19h53.49.089,MID1.0,60.09496201250295,
19,1,8.0,166.78180709993467,Green,166.78223789995536,0.7490869998000562,2.0,167.53156829997897,2.0002011000178754,1,0.250324800144881,169.53185669984668,0.2633333333333333,1,5,170.06003890000284,0.9884480996988714,5.5,171.04877449991181,5.499751700088382,176.54856120003387,176.36348079983145,9.76634390000254,,103,9,2,2025-06-09_19h53.49.089,MID1.0,60.09496201250295,
20,1,7.0,176.54859199980274,Green,176.54897589981556,0.749148900154978,1.5,177.29839950008318,1.5001200996339321,1,0.2336598001420498,178.7986011998728,0.24666666666666667,1,6,179.32756120013073,0.9877259996719658,2.0,180.31553529994562,1.9995531998574734,182.31511660013348,182.11348079983145,5.766161500010639,,103,9,2,2025-06-09_19h53.49.089,MID1.0,60.09496201250295,
21,1,7.0,182.31514670001343,Green,182.31552820000798,0.7493145000189543,1.5,183.06508459988981,1.500199900008738,0,,184.56536599993706,0.24666666666666667,-1,6,185.0934497998096,0.9884649002924562,2.0,186.08225680002943,1.9997691996395588,188.08205340011045,187.86348079983145,5.766545700374991,,103,9,2,2025-06-09_19h53.49.089,MID1.0,60.09496201250295,
22,1,8.0,188.08208400011063,Blue,188.08246110007167,0.7491125999949872,1.5,188.83181739971042,1.5001406003721058,1,0.25010039983317256,190.33204039977863,0.2633333333333333,1,6,190.85855029989034,0.9902976001612842,2.0,191.84913039999083,1.9996561999432743,193.8488139999099,193.61348079983145,5.766372499987483,,103,9,2,2025-06-09_19h53.49.089,MID1.0,60.09496201250295,
23,1,8.0,193.8488429998979,Blue,193.84922150010243,0.7488036998547614,1.5,194.59826379967853,1.5002287002280354,0,,196.09858219977468,0.2633333333333333,-1,6,196.61474470002577,0.9838212998583913,7.0,197.5988169000484,6.99992989981547,204.59882539976388,204.36348079983145,10.74962309980765,,103,9,2,2025-06-09_19h53.49.089,MID1.0,60.09496201250295,
24,1,9.0,204.59885670011863,Green,204.5992434998043,0.7489507002756,1.5,205.34843769995496,1.5003734999336302,1,0.2667828998528421,206.8488954999484,0.28,1,7,207.38389750011265,0.9816214996390045,2.0,208.36576279997826,1.999652300029993,210.36544420011342,210.11348079983145,5.766221099998802,,103,9,2,2025-06-09_19h53.49.089,MID1.0,60.09496201250295,
25,1,9.0,210.36547360010445,Green,210.36585539998487,0.7490269998088479,3.0,211.11512580001727,3.0004599997773767,1,0.2669414998963475,214.11566870007664,0.28,1,8,214.64465359970927,0.9874379001557827,3.5,215.63233699975535,3.4998524999246,219.13225300004706,218.86348079983145,8.766419100109488,,103,9,2,2025-06-09_19h53.49.089,MID1.0,60.09496201250295,
26,1,8.0,219.1322876000777,Green,219.13268100004643,0.7490515997633338,1.5,219.88198419986293,1.5003129001706839,1,0.2502762000076473,221.38238159986213,0.2633333333333333,1,9,221.90519479988143,0.9936831002123654,2.0,222.89912359975278,1.999762600287795,224.89891389990225,224.61348079983145,5.766253199893981,,103,9,2,2025-06-09_19h53.49.089,MID1.0,60.09496201250295,
27,1,8.0,224.8989431001246,Blue,224.8993212999776,0.7492623999714851,3.0,225.64882749971002,3.000181300099939,1,0.25029269978404045,228.64909399999306,0.2633333333333333,1,9,229.17448609974235,0.9912983002141118,4.5,230.16602699970827,4.4997829999774694,234.66583799989894,234.36348079983145,9.7665363997221,,103,9,2,2025-06-09_19h53.49.089,MID1.0,60.09496201250295,
