"CueColor","itiTime"
"Green","2"
"Blue","1"
"Green","4"
"Green","1"
"Blue","1"
"Blue","1"
"Blue","2"
"Green","1"
"Green","1"
"Green","2"
"Blue","1"
"Green","2"
