.thisTrialN,.stepSize,.intensity,time.onset,cue.color,isi_duration,.response,Trial.rewardType,Total_Earned,iti_final,time.global,time.nominal,time.trial,Target_Resp.rt,participant,session,run,date,expName,frameRate,
0,6,10.0,13.038866099901497,Green,1.5,0,-1,0,7.75,24.28893949976191,24.272421299945563,11.24963470036164,,999,1,2,2025-02-10_08h51.42.242,MID1.0,60.07438398327463,
1,3,15,24.288981299847364,Green,1.5,1,1,1,3.75,31.57225429965183,31.522421299945563,7.282923500053585,0.3663713997229934,999,1,2,2025-02-10_08h51.42.242,MID1.0,60.07438398327463,
2,3,12,31.572295099962503,Green,3.5,1,1,2,3.75,40.8391546998173,40.77242129994556,9.266509299632162,0.31697409972548485,999,1,2,2025-02-10_08h51.42.242,MID1.0,60.07438398327463,
3,3,12,40.83919740002602,Green,2.5,1,1,3,4.75,50.10597809962928,50.02242129994556,9.266429599840194,0.3168478002771735,999,1,2,2025-02-10_08h51.42.242,MID1.0,60.07438398327463,
4,3,9,50.10601899959147,Blue,1.5,1,-1,3,3.75,57.389228999614716,57.27242129994556,7.282869199756533,0.2666982999071479,999,1,2,2025-02-10_08h51.42.242,MID1.0,60.07438398327463,
5,3,9,57.389270699582994,Blue,2.0,1,-1,3,8.25,69.67279779957607,69.52242129994556,12.283204099629074,0.2664682003669441,999,1,2,2025-02-10_08h51.42.242,MID1.0,60.07438398327463,
6,3,6,69.67285809991881,Green,2.0,1,1,4,6.25,79.95617799973115,79.77242129994556,10.282941000070423,0.21676040021702647,999,1,2,2025-02-10_08h51.42.242,MID1.0,60.07438398327463,
7,3,6,79.9562199995853,Green,2.0,0,-1,4,8.25,92.22309139976278,92.02242129994556,12.266516900155693,,999,1,2,2025-02-10_08h51.42.242,MID1.0,60.07438398327463,
8,3,9,92.22313229972497,Blue,3.0,1,-1,4,9.25,106.49003829993308,106.27242129994556,14.266559099778533,0.26697919983416796,999,1,2,2025-02-10_08h51.42.242,MID1.0,60.07438398327463,
9,2,9,106.49007939966395,Green,1.5,1,1,5,7.75,117.75699129980057,117.52242129994556,11.266570100095123,0.26669409964233637,999,1,2,2025-02-10_08h51.42.242,MID1.0,60.07438398327463,
10,2,7,117.75704119959846,Blue,2.0,1,-1,5,4.25,126.02352519985288,125.77242129994556,8.266107600182295,0.23415669985115528,999,1,2,2025-02-10_08h51.42.242,MID1.0,60.07438398327463,
11,2,7,126.02356639970094,Green,2.0,1,1,6,2.25,132.29012769972906,132.02242129994556,6.266216499730945,0.2333496999926865,999,1,2,2025-02-10_08h51.42.242,MID1.0,60.07438398327463,
12,2,5,132.29016839992255,Blue,1.5,0,-1,6,1.75,137.5570580996573,137.27242129994556,5.2665436998941,,999,1,2,2025-02-10_08h51.42.242,MID1.0,60.07438398327463,
13,2,7,137.55711960000917,Green,1.5,1,1,7,1.75,142.8237022999674,142.52242129994556,5.2661017999053,0.2338527999818325,999,1,2,2025-02-10_08h51.42.242,MID1.0,60.07438398327463,
14,1,7,142.82374429982156,Blue,2.0,1,-1,7,2.25,149.0904531995766,148.77242129994556,6.266363700386137,0.23364969994872808,999,1,2,2025-02-10_08h51.42.242,MID1.0,60.07438398327463,
15,1,6,149.09049499966204,Green,1.5,1,1,8,1.75,154.37367689982057,154.02242129994556,5.282830900046974,0.21691560000181198,999,1,2,2025-02-10_08h51.42.242,MID1.0,60.07438398327463,
16,1,6,154.37371829990298,Green,3.5,1,1,9,7.75,167.65720779960975,167.27242129994556,13.283136299811304,0.21692080004140735,999,1,2,2025-02-10_08h51.42.242,MID1.0,60.07438398327463,
17,1,5,167.65724949957803,Green,3.0,0,-1,9,7.25,179.94073359994218,179.52242129994556,12.283133500255644,,999,1,2,2025-02-10_08h51.42.242,MID1.0,60.07438398327463,
