.thisTrialN,.stepSize,.intensity,time.onset,cue.color,isi_duration,.response,Trial.rewardType,Total_Earned,iti_final,time.global,time.nominal,time.trial,Target_Resp.rt,Total_Task_Duration,participant,session,run,date,expName,frameRate,
0,6,10.0,131.74014799995348,Green,1.5,0,-1,0,1.75,136.9917159001343,136.97302330005914,5.251038600225002,,,999,1,1,2025-02-05_16h48.46.834,MID1.0,60.14541959650493,
1,6,15,136.9918219000101,Blue,1.5,0,-1,0,5.75,146.24186079995707,146.22302330005914,9.249214200070128,,,999,1,1,2025-02-05_16h48.46.834,MID1.0,60.14541959650493,
2,3,15,146.24196960008703,Blue,2.0,1,-1,0,2.25,152.5246530000586,152.47302330005914,6.2817659000866115,0.3660393999889493,,999,1,1,2025-02-05_16h48.46.834,MID1.0,60.14541959650493,
3,3,12,152.52474600006826,Blue,2.0,1,-1,0,2.25,158.80628170003183,158.72302330005914,6.280805699992925,0.3171011998783797,,999,1,1,2025-02-05_16h48.46.834,MID1.0,60.14541959650493,
4,3,12,158.80634300014935,Green,4.0,1,1,1,4.25,169.07597879995592,168.97302330005914,10.269136300077662,0.32597890007309616,,999,1,1,2025-02-05_16h48.46.834,MID1.0,60.14541959650493,
5,3,9,169.07609420013614,Green,2.5,0,-1,1,2.75,176.32394050015137,176.22302330005914,7.24687679996714,,,999,1,1,2025-02-05_16h48.46.834,MID1.0,60.14541959650493,
6,3,12,176.32405059994198,Blue,1.5,0,-1,1,3.75,183.60568580008112,183.47302330005914,7.280628100037575,,,999,1,1,2025-02-05_16h48.46.834,MID1.0,60.14541959650493,
7,3,15,183.6057438000571,Green,1.5,0,-1,1,1.75,188.85627899994142,188.72302330005914,5.250109599903226,,,999,1,1,2025-02-05_16h48.46.834,MID1.0,60.14541959650493,
8,3,15,188.85633410001174,Green,1.5,1,1,2,3.75,196.10761289997026,195.97302330005914,7.2509041000157595,0.3680900000035763,,999,1,1,2025-02-05_16h48.46.834,MID1.0,60.14541959650493,
9,3,15,196.10778610012494,Blue,1.5,0,-1,2,7.75,207.35854899999686,207.22302330005914,11.249914000043646,,,999,1,1,2025-02-05_16h48.46.834,MID1.0,60.14541959650493,
10,3,15,207.35865269997157,Blue,2.5,0,-1,2,2.75,214.60660729999654,214.47302330005914,7.2470349001232535,,,999,1,1,2025-02-05_16h48.46.834,MID1.0,60.14541959650493,
11,3,15,214.6066729000304,Green,1.5,0,-1,2,3.75,221.85895100003108,221.72302330005914,7.2517224999610335,,,999,1,1,2025-02-05_16h48.46.834,MID1.0,60.14541959650493,
12,3,15,221.8590510999784,Green,1.5,1,1,3,5.75,231.1221279001329,230.97302330005914,9.262063599890098,0.3663644001353532,,999,1,1,2025-02-05_16h48.46.834,MID1.0,60.14541959650493,
13,2,15,231.12217690004036,Blue,2.0,1,-1,3,8.25,243.37450590007938,243.22302330005914,12.25190640008077,0.36716629983857274,,999,1,1,2025-02-05_16h48.46.834,MID1.0,60.14541959650493,
14,2,13,243.3746200001333,Blue,3.5,1,-1,3,3.75,252.65592689998448,252.47302330005914,9.280389500083402,0.3330961000174284,,999,1,1,2025-02-05_16h48.46.834,MID1.0,60.14541959650493,
15,2,13,252.65600310009904,Blue,2.0,0,-1,3,8.25,264.92208210006356,264.72302330005914,12.265483599854633,,,999,1,1,2025-02-05_16h48.46.834,MID1.0,60.14541959650493,
16,2,15,264.9221433000639,Blue,1.5,0,-1,3,1.75,270.20708580012433,269.97302330005914,5.28440980007872,,,999,1,1,2025-02-05_16h48.46.834,MID1.0,60.14541959650493,
17,2,15,270.20725019997917,Green,1.5,0,-1,3,1.75,275.4901552000083,275.22302330005914,5.281985600013286,,,999,1,1,2025-02-05_16h48.46.834,MID1.0,60.14541959650493,
18,2,15,275.49023939995095,Blue,1.5,0,-1,3,3.75,282.75744389998727,282.47302330005914,7.2665311000309885,,,999,1,1,2025-02-05_16h48.46.834,MID1.0,60.14541959650493,
19,2,15,282.75755079998635,Blue,1.5,0,-1,3,3.75,290.02363820001483,289.72302330005914,7.265163199976087,,,999,1,1,2025-02-05_16h48.46.834,MID1.0,60.14541959650493,
20,2,15,290.0237203000579,Blue,4.0,0,-1,3,4.25,300.3072464999277,299.97302330005914,10.282856799894944,,,999,1,1,2025-02-05_16h48.46.834,MID1.0,60.14541959650493,
21,2,15,300.3073529000394,Green,2.5,1,1,4,2.75,307.5893417999614,307.22302330005914,7.280581099912524,0.36545349983498454,,999,1,1,2025-02-05_16h48.46.834,MID1.0,60.14541959650493,
22,2,15,307.5894120000303,Blue,2.5,0,-1,4,2.75,314.8721568000037,314.47302330005914,7.282035100040957,,,999,1,1,2025-02-05_16h48.46.834,MID1.0,60.14541959650493,
23,2,15,314.8722039000131,Green,2.5,1,1,5,6.75,326.13974060001783,325.72302330005914,11.267045399872586,0.36747050005942583,,999,1,1,2025-02-05_16h48.46.834,MID1.0,60.14541959650493,
24,2,15,326.13985539996065,Blue,1.5,0,-1,5,5.75,335.4067564001307,334.97302330005914,9.266135400161147,,,999,1,1,2025-02-05_16h48.46.834,MID1.0,60.14541959650493,
25,2,15,335.40683969995007,Green,2.0,0,-1,5,6.25,345.6589565000031,345.22302330005914,10.251534500159323,,,999,1,1,2025-02-05_16h48.46.834,MID1.0,60.14541959650493,
26,2,15,345.6590992999263,Green,1.5,0,-1,5,3.75,352.9408988999203,352.47302330005914,7.28103720000945,,,999,1,1,2025-02-05_16h48.46.834,MID1.0,60.14541959650493,
27,2,15,352.941005300032,Blue,2.0,0,-1,5,2.25,359.2263996999245,358.72302330005914,6.284567499998957,,,999,1,1,2025-02-05_16h48.46.834,MID1.0,60.14541959650493,
28,2,15,359.22650210000575,Green,1.5,0,-1,5,1.75,364.491134500131,363.97302330005914,5.263520299922675,,,999,1,1,2025-02-05_16h48.46.834,MID1.0,60.14541959650493,
29,2,15,364.49124120012857,Green,1.5,1,1,6,1.75,369.7735735999886,369.22302330005914,5.281456199940294,0.36674629990011454,,999,1,1,2025-02-05_16h48.46.834,MID1.0,60.14541959650493,
30,2,15,369.7737197999377,Green,1.5,0,-1,6,3.75,377.04005050007254,376.47302330005914,7.265603799838573,,,999,1,1,2025-02-05_16h48.46.834,MID1.0,60.14541959650493,
31,2,15,377.04018780007027,Blue,1.5,0,-1,6,7.75,388.3060278000776,387.72302330005914,11.26510849990882,,,999,1,1,2025-02-05_16h48.46.834,MID1.0,60.14541959650493,
32,2,15,388.30611270014197,Blue,2.5,1,-1,6,4.75,397.5744308999274,396.97302330005914,9.267584800021723,0.3645713001023978,,999,1,1,2025-02-05_16h48.46.834,MID1.0,60.14541959650493,
33,2,15,397.57453870004974,Green,1.5,0,-1,6,7.75,408.85612519993447,408.22302330005914,11.280648899963126,,,999,1,1,2025-02-05_16h48.46.834,MID1.0,60.14541959650493,
34,2,15,408.856269299984,Green,1.5,0,-1,6,3.75,416.12185060000047,415.47302330005914,7.264647500123829,,,999,1,1,2025-02-05_16h48.46.834,MID1.0,60.14541959650493,
35,2,15,416.1218962999992,Green,2.0,0,-1,6,2.25,422.3875089001376,421.72302330005914,6.265231000026688,,,999,1,1,2025-02-05_16h48.46.834,MID1.0,60.14541959650493,
36,2,15,422.38756110006943,Blue,2.5,0,-1,6,2.75,429.6555505001452,428.97302330005914,7.267593699973077,,,999,1,1,2025-02-05_16h48.46.834,MID1.0,60.14541959650493,
37,2,15,429.65564569993876,Green,2.0,1,1,7,6.25,439.9060396000277,439.22302330005914,10.249596799956635,0.36759330006316304,,999,1,1,2025-02-05_16h48.46.834,MID1.0,60.14541959650493,
38,2,15,439.90611460013315,Green,3.0,0,-1,7,5.25,450.1722188999411,449.47302330005914,10.265431300038472,,,999,1,1,2025-02-05_16h48.46.834,MID1.0,60.14541959650493,
39,2,15,450.1723490001168,Blue,1.5,0,-1,7,1.75,455.45532330009155,454.72302330005914,5.282271300209686,,,999,1,1,2025-02-05_16h48.46.834,MID1.0,60.14541959650493,
40,2,15,455.4554187001195,Green,1.5,0,-1,7,1.75,460.7238726001233,459.97302330005914,5.267776500200853,,,999,1,1,2025-02-05_16h48.46.834,MID1.0,60.14541959650493,
41,2,15,460.7239735000767,Blue,2.0,0,-1,7,8.25,473.00414390000515,472.22302330005914,12.279377299826592,,,999,1,1,2025-02-05_16h48.46.834,MID1.0,60.14541959650493,
42,2,15,473.00430090003647,Green,2.0,0,-1,7,2.25,479.2792493000161,478.47302330005914,6.274541199905798,,,999,1,1,2025-02-05_16h48.46.834,MID1.0,60.14541959650493,
