.thisTrialN,.stepSize,.intensity,time.onset,cue.color,isi_duration,.response,Trial.rewardType,Total_Earned,iti_final,time.global,time.nominal,time.trial,Target_Resp.rt,Total_Task_Duration,participant,session,run,date,expName,frameRate,
0,6,10.0,15.817632200196385,Blue,1.5,0,-1,0,1.75,21.08431820012629,21.051223100163043,5.266292999964207,,,999,2,1,2025-02-10_09h25.52.663,MID1.0,59.95200246614963,
1,6,15,21.084360900335014,Green,3.0,0,-1,0,7.25,33.33445840002969,33.30122310016304,12.24974500015378,,,999,2,1,2025-02-10_09h25.52.663,MID1.0,59.95200246614963,
2,3,15,33.334499600343406,Green,1.5,1,1,1,5.75,42.617986700031906,42.55122310016304,9.283135799691081,0.3668216997757554,,999,2,1,2025-02-10_09h25.52.663,MID1.0,59.95200246614963,
3,3,12,42.61802830034867,Blue,1.5,1,-1,1,7.75,53.88485300028697,53.80122310016304,11.266481400001794,0.3170413002371788,,999,2,1,2025-02-10_09h25.52.663,MID1.0,59.95200246614963,
4,3,12,53.88489650003612,Blue,1.5,0,-1,1,1.75,59.16823930013925,59.05122310016304,5.282993000000715,,,999,2,1,2025-02-10_09h25.52.663,MID1.0,59.95200246614963,
5,3,15,59.16828009998426,Blue,2.5,1,-1,1,2.75,66.45168830035254,66.30122310016304,7.283068899996579,0.3667230000719428,,999,2,1,2025-02-10_09h25.52.663,MID1.0,59.95200246614963,
6,3,15,66.4517341000028,Green,4.0,0,-1,1,4.25,76.73495070030913,76.55122310016304,10.282853300217539,,,999,2,1,2025-02-10_09h25.52.663,MID1.0,59.95200246614963,
7,3,15,76.73499200027436,Blue,1.5,0,-1,1,1.75,82.01850880030543,81.80122310016304,5.2831713003106415,,,999,2,1,2025-02-10_09h25.52.663,MID1.0,59.95200246614963,
8,3,15,82.01857560034841,Blue,1.5,0,-1,1,3.75,89.28550560027361,89.05122310016304,7.266572100110352,,,999,2,1,2025-02-10_09h25.52.663,MID1.0,59.95200246614963,
9,3,15,89.28555120015517,Green,1.5,1,1,2,1.75,94.56859070016071,94.30122310016304,5.28268209984526,0.3667163997888565,,999,2,1,2025-02-10_09h25.52.663,MID1.0,59.95200246614963,
10,2,15,94.56863080011681,Blue,2.0,1,-1,2,2.25,100.85203880025074,100.55122310016304,6.283060499932617,0.36667919997125864,,999,2,1,2025-02-10_09h25.52.663,MID1.0,59.95200246614963,
11,2,13,100.85207909997553,Green,2.0,0,-1,2,6.25,111.10246240021661,110.80122310016304,10.250035299919546,,,999,2,1,2025-02-10_09h25.52.663,MID1.0,59.95200246614963,
12,2,15,111.10250720009208,Blue,1.5,0,-1,2,1.75,116.38546700030565,116.05122310016304,5.282600999809802,,,999,2,1,2025-02-10_09h25.52.663,MID1.0,59.95200246614963,
