.thisTrialN,.stepSize,.intensity,time.onset,cue.color,cue_onset_time,cue_duration,isi_duration_int,isi_onset_time,isi_duration_act,.response,Target_Resp.rt,target_onset_time,target_duration,Trial.rewardType,Total_Earned,feedback_onset_time,feedback_duration,iti_int,iti_onset_time,iti_duration,time.global,time.nominal,time.trial,Total_Task_Duration,participant,session,run,date,expName,frameRate,
0,6,8.0,8.373796600004425,Blue,8.37421120001818,0.7480572999920696,2.5,9.122537000017473,2.500265999988187,1,0.2502818999928422,11.622867600002792,0.2633333333333333,1,0,12.159498400025768,0.9801051999966148,3.0,13.13984130002791,2.999722499982454,16.13959520001663,16.106189600017387,7.765408799983561,,101,4,1,2025-03-13_20h43.50.940,MID1.0,60.002004057747456,
1,3,2.0,16.139627700002166,Blue,16.139973000012105,0.7491746000014246,1.5,16.889365400013048,1.5001466000103392,0,,18.389576500019757,0.16333333333333333,-1,0,18.904492700006813,0.9852450000180397,3.0,19.88997090002522,2.9996833999757655,22.88968050002586,22.856189600017387,6.749727000016719,,101,4,1,2025-03-13_20h43.50.940,MID1.0,60.002004057747456,
2,3,5.0,22.889708200003952,Blue,22.89004450000357,0.7492465999966953,1.5,23.639550900028553,1.5001856999879237,1,0.20001289999345317,25.13980000000447,0.21333333333333332,1,0,25.653385400015395,0.9863107000128366,2.0,26.639932000020053,1.999794400006067,28.639752600021893,28.606189600017387,5.749727399990661,,101,4,1,2025-03-13_20h43.50.940,MID1.0,60.002004057747456,
3,3,5.0,28.639779400022235,Green,28.640152200008743,0.7490327999985311,2.0,29.389404600020498,2.0003198999911547,0,,31.389788500004215,0.21333333333333332,-1,0,31.905488100019284,0.9842415000020992,2.5,32.88996130001033,2.49981549999211,35.389819600008195,35.35618960001739,6.749687200004701,,101,4,1,2025-03-13_20h43.50.940,MID1.0,60.002004057747456,
4,3,8.0,35.38984890002757,Green,35.390198100009,0.7491706000000704,2.5,36.13958930000081,2.500221900001634,1,0.25001780001912266,38.63987680000719,0.2633333333333333,1,1,39.17542230000254,0.981431899999734,6.0,40.15714600001229,5.999496300006285,46.15667600001325,46.10618960001739,10.766498699988006,,101,4,1,2025-03-13_20h43.50.940,MID1.0,60.002004057747456,
5,3,8.0,46.156748400011566,Blue,46.15716830000747,0.7489814000145998,2.5,46.906373400008306,2.500253000005614,1,0.25051909999456257,49.40669460000936,0.2633333333333333,1,1,49.93838410000899,0.9848697000124957,6.0,50.9235024000227,5.999953999998979,56.92349690000992,56.85618960001739,10.766348399978597,,101,4,1,2025-03-13_20h43.50.940,MID1.0,60.002004057747456,
6,3,5.0,56.923524400015594,Green,56.92386750000878,0.7492570000176784,3.0,57.6733544000017,3.0005493000207935,1,0.2002640999853611,60.674031600006856,0.21333333333333332,1,2,61.19767480000155,0.9924254000070505,3.5,62.19033790001413,3.4999931000056677,65.69037280001794,65.60618960001739,8.766525299986824,,101,4,1,2025-03-13_20h43.50.940,MID1.0,60.002004057747456,
7,2,5.0,65.69040170000517,Green,65.69076320002205,0.7489020999928471,1.5,66.4398865000112,1.5003477999998722,0,,67.94029960001353,0.21333333333333332,-1,2,68.47050580001087,0.9865340999967884,5.0,69.45729530000244,4.999768800014863,74.45709200002602,74.35618960001739,8.766348900011508,,101,4,1,2025-03-13_20h43.50.940,MID1.0,60.002004057747456,
8,2,7.0,74.45712060001097,Green,74.45747870000196,0.7491251000028569,2.0,75.20683200002532,2.0002098999975715,1,0.2336203999875579,77.20710640001926,0.24666666666666667,1,3,77.74669750002795,0.9769711999979336,2.5,78.72391920001246,2.499704899993958,81.2236526000197,81.10618960001739,6.766193799994653,,101,4,1,2025-03-13_20h43.50.940,MID1.0,60.002004057747456,
9,2,7.0,81.22368060000008,Green,81.22403160002432,0.7492296999844257,1.5,81.97349190001842,1.5001586999860592,1,0.2333206000039354,83.47371820002445,0.24666666666666667,1,4,84.00360000002547,0.9868055999977514,3.0,84.99064390000422,2.999855700007174,87.99054220001562,87.85618960001739,6.7665303999965545,,101,4,1,2025-03-13_20h43.50.940,MID1.0,60.002004057747456,
10,2,5.0,87.99056960002054,Blue,87.99091849999968,0.7491814000240993,1.5,88.7403208000178,1.5002854999911506,1,0.20011029997840524,90.24067480000667,0.21333333333333332,1,4,90.76582290002261,0.9914691000012681,3.0,91.75754700001562,2.999837999988813,94.75741230000858,94.60618960001739,6.766513999988092,,101,4,1,2025-03-13_20h43.50.940,MID1.0,60.002004057747456,
11,1,5.0,94.75744000001578,Green,94.75779160001548,0.7489578000095207,2.0,95.50697430002037,2.0002985000028275,0,,97.50733780002338,0.21333333333333332,-1,4,98.01668430000427,0.9905927000218071,3.5,99.00751560000936,3.499727200018242,102.50726950002718,102.35618960001739,7.74949800001923,,101,4,1,2025-03-13_20h43.50.940,MID1.0,60.002004057747456,
12,1,6.0,102.50729740000679,Blue,102.5076358000224,0.749183699983405,2.0,103.25704220001353,2.000276800012216,0,,105.25738260001526,0.23,-1,4,105.7825100000191,0.9914441999862902,2.5,106.77432480000425,2.4997943000053056,109.27415810001548,109.10618960001739,6.766545999998925,,101,4,1,2025-03-13_20h43.50.940,MID1.0,60.002004057747456,
13,1,7.0,109.27418659999967,Green,109.2745772000053,0.7489814000145998,2.0,110.02378620000673,2.0002482999989297,1,0.23315460002049804,112.02409770002123,0.24666666666666667,1,5,112.54060040001059,0.9835292999923695,2.5,113.5243865000084,2.499838899995666,116.02426720000221,115.85618960001739,6.7497102999768686,,101,4,1,2025-03-13_20h43.50.940,MID1.0,60.002004057747456,
14,1,7.0,116.02431280000019,Blue,116.02470390000963,0.7490733000158798,1.5,116.77400260002469,1.500220799993258,0,,118.27428740001051,0.24666666666666667,-1,5,118.81175420002546,0.9786353999807034,2.0,119.79064350001863,2.000244399998337,121.79092840000521,121.60618960001739,5.766244500002358,,101,4,1,2025-03-13_20h43.50.940,MID1.0,60.002004057747456,
15,1,8.0,121.7909564000147,Green,121.79131270002108,0.7491586999967694,1.5,122.54070420001517,1.5005056000081822,1,0.2498040999926161,124.04127520002658,0.2633333333333333,1,6,124.58034780001617,0.9772432000027038,3.0,125.5578499000112,2.999797500000568,128.5577037000039,128.3561896000174,6.766416900005424,,101,4,1,2025-03-13_20h43.50.940,MID1.0,60.002004057747456,
16,1,8.0,128.55774810002185,Blue,128.55824090001988,0.7489987000008114,1.5,129.3074626000016,1.5004239000263624,1,0.2501461000065319,130.80795120002585,0.2633333333333333,1,6,131.3400859000103,0.9842537000076845,2.0,132.32457540000905,1.999851900007343,134.3244684000092,134.1061896000174,5.766254099988146,,101,4,1,2025-03-13_20h43.50.940,MID1.0,60.002004057747456,
17,1,7.0,134.32449710002402,Green,134.32484560000012,0.7491856000269763,1.5,135.0742537000042,1.5001961000089068,0,,136.57451480001328,0.24666666666666667,-1,6,137.08364530000836,0.9908595000160858,3.0,138.07474410001305,2.9998293000098784,141.0746009000286,140.8561896000174,6.749775200005388,,101,4,1,2025-03-13_20h43.50.940,MID1.0,60.002004057747456,
18,1,8.0,141.07464000000618,Blue,141.07497640000656,0.7491500000178348,2.0,141.82434690001537,2.000020500010578,1,0.2501059000205714,143.8244317000208,0.2633333333333333,1,6,144.3347665000183,0.9899277999938931,3.5,145.32498300002771,3.4996421999821905,148.8246568000177,148.6061896000174,7.749700100015616,,101,4,1,2025-03-13_20h43.50.940,MID1.0,60.002004057747456,
19,1,8.0,148.8246849999996,Blue,148.82503390000784,0.7492114000197034,1.5,149.5744643000071,1.5000806000025477,1,0.25025929999537766,151.07460910000373,0.2633333333333333,1,6,151.5872322000214,0.9872998000064399,3.0,152.57478340002126,2.999835199996596,155.5746503000264,155.3561896000174,6.7496366999985185,,101,4,1,2025-03-13_20h43.50.940,MID1.0,60.002004057747456,
20,1,7.0,155.57467870000983,Green,155.5750177000009,0.7491554000007454,2.5,156.3243952000048,2.500221499998588,1,0.23333880002610385,158.82468580000568,0.24666666666666667,1,7,159.3362454000162,0.9885741999896709,3.0,160.32507860002806,2.9998021999781486,163.32490760000655,163.1061896000174,7.749910199985607,,101,4,1,2025-03-13_20h43.50.940,MID1.0,60.002004057747456,
21,1,7.0,163.32493530001375,Blue,163.32527700002538,0.7489466999832075,1.5,164.07444650001707,1.5002954000083264,0,,165.57480870001018,0.24666666666666667,-1,7,166.10204260001774,0.9900119999947492,7.0,167.0923265000165,6.999260999989929,174.09161520001362,173.8561896000174,10.766358599998057,,101,4,1,2025-03-13_20h43.50.940,MID1.0,60.002004057747456,
22,1,8.0,174.09164600001532,Blue,174.0919917000283,0.7490279999910854,2.0,174.84124120001798,2.0002959999837913,0,,176.8416070000094,0.2633333333333333,-1,7,177.37113480002154,0.9872103999950923,7.5,178.35858350002673,7.499702499975683,185.85831470001722,185.6061896000174,11.766342699993402,,101,4,1,2025-03-13_20h43.50.940,MID1.0,60.002004057747456,
