.thisTrialN,.stepSize,.intensity,time.onset,cue.color,cue_onset_time,cue_duration,isi_duration_int,isi_onset_time,isi_duration_act,.response,target_onset_time,target_duration,Trial.rewardType,Total_Earned,feedback_onset_time,feedback_duration,iti_int,iti_onset_time,iti_duration,time.global,time.nominal,time.trial,Target_Resp.rt,Total_Task_Duration,participant,session,run,date,expName,frameRate,
0,6,8.0,8.395587000064552,Green,8.396246500080451,0.7489527999423444,1.5,9.145482999971136,1.5002087000757456,0,10.645790299866349,0.2633333333333333,-1,0,11.19880019989796,0.9635249001439661,2.0,12.162638399982825,1.999828499974683,14.162496699951589,14.12892619986087,5.766271699918434,,,101,8,2,2025-03-30_21h21.22.136,MID1.0,59.99548833286094,
1,3,14.0,14.162528699962422,Green,14.162946499884129,0.7487993000540882,3.0,14.91198750003241,3.0004298998974264,1,17.912516499869525,0.36333333333333334,1,1,18.45337160001509,0.9756463998928666,8.5,19.429279800038785,8.499808199936524,27.929119699867442,27.87892619986087,13.766192500013858,0.3502003999892622,,101,8,2,2025-03-30_21h21.22.136,MID1.0,59.99548833286094,
2,3,11.0,27.929150399984792,Green,27.929721700027585,0.748812000034377,1.5,28.67877239990048,1.4999256001319736,1,30.178763000061736,0.31333333333333335,1,2,30.707600600086153,0.9881578998174518,3.0,31.696042200084776,2.999774299794808,34.69584579998627,34.62892619986087,6.766143399989232,0.29997749999165535,,101,8,2,2025-03-30_21h21.22.136,MID1.0,59.99548833286094,
3,3,11.0,34.695874999975786,Green,34.69625629996881,0.7491425001062453,1.5,35.445648999884725,1.5001527999993414,1,36.94588440004736,0.31333333333333335,1,3,37.468448699917644,0.9942223001271486,5.0,38.46290769986808,4.999750800197944,43.46268690004945,43.37892619986087,8.766450499882922,0.30022200010716915,,101,8,2,2025-03-30_21h21.22.136,MID1.0,59.99548833286094,
4,3,8.0,43.46271639992483,Green,43.46309620002285,0.7491830999497324,2.5,44.212524599861354,2.500109100015834,1,46.71272929990664,0.2633333333333333,1,4,47.218634200049564,0.994088500039652,4.0,48.213104400085285,3.999753199983388,52.21291460003704,52.12892619986087,8.749838300049305,0.25029690004885197,,101,8,2,2025-03-30_21h21.22.136,MID1.0,59.99548833286094,
5,3,8.0,52.21294500003569,Blue,52.21333529986441,0.7490073000080884,2.0,52.962587299989536,2.000255099963397,1,54.96293929987587,0.2633333333333333,1,4,55.48765949998051,0.9921482999343425,2.5,56.48010200005956,2.4994820998981595,58.97961200005375,58.87892619986087,6.76629629987292,0.2501825999934226,,101,8,2,2025-03-30_21h21.22.136,MID1.0,59.99548833286094,
6,3,5.0,58.979640499921516,Green,58.98005019989796,0.7490175999701023,1.5,59.729303600033745,1.5002198000438511,0,61.22960649989545,0.21333333333333332,-1,4,61.754755599889904,0.9914606001693755,7.0,62.74651709990576,6.999709400115535,69.74625610001385,69.62892619986087,10.76622479991056,,,101,8,2,2025-03-30_21h21.22.136,MID1.0,59.99548833286094,
7,3,8.0,69.74628490000032,Blue,69.74670149991289,0.7487475001253188,2.5,70.49567209999077,2.500640599988401,1,72.99641379993409,0.2633333333333333,1,4,73.52607410005294,0.986841700039804,3.0,74.51315240003169,2.999731699936092,77.51291289995424,77.37892619986087,7.7662301999516785,0.2503925000783056,,101,8,2,2025-03-30_21h21.22.136,MID1.0,59.99548833286094,
8,2,8.0,77.51294180005789,Green,77.51334979990497,0.7490016000811011,1.5,78.26259499997832,1.4999406000133604,1,79.76260169991292,0.2633333333333333,1,5,80.28080539987423,0.9818933000788093,3.0,81.26293960004114,2.999811799963936,84.2628112998791,84.12892619986087,6.749481200007722,0.25052290013991296,,101,8,2,2025-03-30_21h21.22.136,MID1.0,59.99548833286094,
9,2,6.0,84.26284179999493,Green,84.2632301999256,0.7492432999424636,1.5,85.01270819990896,1.5002858999650925,1,86.51307490002364,0.23,1,6,87.03589809988625,0.9940117001533508,3.0,88.03021389991045,2.999411800177768,91.02965410007164,90.87892619986087,6.766443700063974,0.21703670010901988,,101,8,2,2025-03-30_21h21.22.136,MID1.0,59.99548833286094,
10,2,6.0,91.0296833999455,Blue,91.03009180002846,0.7492567000444978,1.5,91.77959379996173,1.5001073000021279,1,93.27979890001006,0.23,1,6,93.80445679998957,0.9917377999518067,3.0,94.79643359989859,3.000084200175479,97.79658670001663,97.62892619986087,6.766514400020242,0.21662850002758205,,101,8,2,2025-03-30_21h21.22.136,MID1.0,59.99548833286094,
