.thisTrialN,.stepSize,.intensity,time.onset,cue.color,cue_onset_time,cue_duration,isi_duration_int,isi_onset_time,isi_duration_act,.response,Target_Resp.rt,target_onset_time,target_duration,Trial.rewardType,Total_Earned,feedback_onset_time,feedback_duration,iti_int,iti_onset_time,iti_duration,time.global,time.nominal,time.trial,Total_Task_Duration,participant,session,run,date,expName,frameRate,
0,6,8.0,8.359260299999733,Blue,8.359758000005968,0.749159500002861,1.5,9.109211900038645,1.4998015000019222,1,0.2501850000116974,10.609094300016295,0.2633333333333333,1,0,11.129295500053558,0.9800584999611601,2.0,12.109647800039966,1.9998215999803506,14.109499500016682,14.092894700006582,5.749762299994472,,105,8,1,2025-07-28_19h34.49.853,MID1.0,59.958724399975296,
1,3,2.0,14.109531300025992,Green,14.109915200038813,0.7490335999755189,2.5,14.859197100042365,2.5001368999946862,0,,17.35941830003867,0.16333333333333333,-1,0,17.89022780000232,0.9856531000114046,4.0,18.876135600032285,3.999869499995839,22.876063800009433,22.842894700006582,8.766168600006495,,105,8,1,2025-07-28_19h34.49.853,MID1.0,59.958724399975296,
2,3,5.0,22.87609680002788,Green,22.876505200052634,0.7492213999503292,2.0,23.62597450002795,1.9999143999884836,1,0.20039699994958937,25.62597160000587,0.21333333333333332,1,1,26.145886600017548,0.9801925999927334,3.5,27.126335000037216,3.4998453999869525,30.626236500043888,30.592894700006582,7.7497520000324585,,105,8,1,2025-07-28_19h34.49.853,MID1.0,59.958724399975296,
3,3,5.0,30.626268699998036,Blue,30.626662500028033,0.7488941000192426,2.0,31.375805900024716,2.0002487000310794,0,,33.376136900042184,0.21333333333333332,-1,1,33.89648950000992,0.9794294000021182,3.5,34.87620630004676,3.49994989996776,38.37621230003424,38.34289470000658,7.749570099986158,,105,8,1,2025-07-28_19h34.49.853,MID1.0,59.958724399975296,
4,3,8.0,38.376243000035174,Green,38.37663240003167,0.7492057000054047,2.0,39.126079500012565,2.0001133999903686,1,0.2499270000262186,41.12628110003425,0.2633333333333333,1,2,41.647854200040456,0.9785192999988794,7.5,42.626701200031675,7.499764800013509,50.12649630004307,50.09289470000658,11.749884199991357,,105,8,1,2025-07-28_19h34.49.853,MID1.0,59.958724399975296,
5,3,8.0,50.12652670004172,Blue,50.12691240001004,0.7492267999914475,1.5,50.87638930004323,1.5000897999852896,1,0.2501128000440076,52.376560600008816,0.2633333333333333,1,2,52.90815980004845,0.9850542999920435,5.0,53.89346780005144,4.99980529997265,58.89330220001284,58.84289470000658,8.766409199975897,,105,8,1,2025-07-28_19h34.49.853,MID1.0,59.958724399975296,
6,2,5.0,58.89333210000768,Green,58.89372000005096,0.7495020999922417,1.5,59.64346370002022,1.4997967000235803,0,,61.143324800010305,0.21333333333333332,-1,2,61.66845380002633,0.9914853000082076,3.0,62.660237800038885,2.999775399977807,65.66004360001534,65.59289470000658,6.766344400006346,,105,8,1,2025-07-28_19h34.49.853,MID1.0,59.958724399975296,
7,2,7.0,65.66007430001628,Blue,65.66045650001615,0.7491757000098005,1.5,66.40988160000416,1.500298400002066,1,0.23350510001182556,67.91026140004396,0.24666666666666667,1,2,68.43698550004046,0.9898381999810226,7.0,69.4270741000073,6.999769899994135,76.42687280004611,76.34289470000658,10.766436100006104,,105,8,1,2025-07-28_19h34.49.853,MID1.0,59.958724399975296,
8,2,7.0,76.42690360004781,Green,76.42728840000927,0.7490651000407524,1.5,77.1766035000328,1.5000094000133686,1,0.23326310003176332,78.67669970000861,0.24666666666666667,1,3,79.1939335000352,0.9829482999630272,3.0,80.17717510001967,2.99973450001562,83.17693970003165,83.09289470000658,6.749670999997761,,105,8,1,2025-07-28_19h34.49.853,MID1.0,59.958724399975296,
9,1,5.0,83.17697040003259,Blue,83.1773574000108,0.7489477000199258,2.0,83.92655630002264,2.0003606000100262,0,,85.9270040000556,0.21333333333333332,-1,3,86.43914790003328,0.9876100000110455,2.5,87.42701640003361,2.499724499997683,89.92676920001395,89.84289470000658,6.749431399977766,,105,8,1,2025-07-28_19h34.49.853,MID1.0,59.958724399975296,
10,1,6.0,89.92680020001717,Blue,89.92718480003532,0.7494058000156656,3.0,90.67683850001777,3.000163800024893,1,0.21682119998149574,93.67708800005494,0.23,1,3,94.19264280004427,0.984432699973695,3.5,95.17732660000911,3.4995847000391223,98.67694110004231,98.59289470000658,8.749776000040583,,105,8,1,2025-07-28_19h34.49.853,MID1.0,59.958724399975296,
11,1,6.0,98.67697230004705,Blue,98.6773582000169,0.7489101000246592,1.5,99.42651350004598,1.5007559999939986,0,,100.92735260003246,0.23,-1,3,101.45456360001117,0.9892318000202067,5.0,102.44409120001364,4.999831499997526,107.44395220000297,107.34289470000658,8.766613400017377,,105,8,1,2025-07-28_19h34.49.853,MID1.0,59.958724399975296,
12,1,7.0,107.44398270000238,Green,107.44436880003195,0.7490709999692626,2.5,108.19369050004752,2.499843499972485,1,0.2335738000110723,110.69359710003482,0.24666666666666667,1,4,111.23123970004963,0.9791514999815263,3.0,112.21064240002306,2.99980669998331,115.21055360004539,115.09289470000658,7.766209299967159,,105,8,1,2025-07-28_19h34.49.853,MID1.0,59.958724399975296,
13,1,7.0,115.21060930000385,Green,115.21099360001972,0.7491649999865331,1.5,115.96041210001567,1.50036689999979,0,,117.46085940004559,0.24666666666666667,-1,4,117.99744770000689,0.9791532999952324,3.0,118.97685600002296,3.000367800006643,121.97728610003833,121.84289470000658,6.766313200001605,,105,8,1,2025-07-28_19h34.49.853,MID1.0,59.958724399975296,
14,1,8.0,121.97732020000694,Blue,121.97773110005073,0.7488292999914847,2.0,122.72681160003413,2.000191300001461,1,0.25007629999890924,124.72706980002113,0.2633333333333333,1,4,125.2628512000083,0.9811578000080772,2.5,126.2443088000291,2.499853399989661,128.744191100006,128.59289470000658,6.7664805999957025,,105,8,1,2025-07-28_19h34.49.853,MID1.0,59.958724399975296,
15,1,8.0,128.74422130000312,Blue,128.74460340000223,0.7490638000308536,3.0,129.49391489999834,3.0000865000183694,1,0.2500278999796137,132.49408390000463,0.2633333333333333,1,4,133.00226140004816,0.9919070999603719,3.5,133.99442220001947,3.499693499994464,137.49414880003314,137.34289470000658,8.749565100006294,,105,8,1,2025-07-28_19h34.49.853,MID1.0,59.958724399975296,
16,1,7.0,137.49417930003256,Green,137.4945657000062,0.7492460000212304,2.5,138.2440638000262,2.5001596999936737,0,,140.74430760001997,0.24666666666666667,-1,4,141.2527937000268,0.9914777000085451,3.0,142.24453360005282,2.9998049999703653,145.24436940002488,145.09289470000658,7.749823199992534,,105,8,1,2025-07-28_19h34.49.853,MID1.0,59.958724399975296,
