.thisTrialN,.stepSize,.intensity,time.onset,cue.color,isi_duration,.response,Target_Resp.rt,Trial.rewardType,Total_Earned,iti_base,iti_final,time.global,time.nominal,time.trial,Total_Task_Duration,participant,session,run,date,expName,frameRate,
0,6,10.0,8.021057200036012,Green,2.627516195207475,1,0.28537260001758114,1,1,1,1.377516195207475,14.036613500036765,14.00863189040751,6.01420259999577,,216,prac,prac,2025-01-27_14h17.02.042,MID1.0,60.17006466986649,
1,3,4.0,14.036727100028656,Blue,3.5801521722319354,0,,-1,1,1,2.3301521722319354,21.953524200012907,21.91893623487138,7.915843599999789,,216,prac,prac,2025-01-27_14h17.02.042,MID1.0,60.17006466986649,
2,3,7.0,21.953634799981955,Blue,3.6121064421102704,0,,-1,1,1,2.3621064421102704,29.938193599984515,29.893149119091923,7.983665900013875,,216,prac,prac,2025-01-27_14h17.02.042,MID1.0,60.17006466986649,
3,3,10.0,29.93830959999468,Green,2.442545367216715,1,0.28359899995848536,1,2,1,1.1925453672167148,35.57127559999935,35.528239853525356,5.6320442000287585,,216,prac,prac,2025-01-27_14h17.02.042,MID1.0,60.17006466986649,
4,3,10.0,35.571426999988034,Green,1.7719775063758374,1,0.2848202000022866,1,3,1,0.5219775063758374,39.8702384000062,39.82219486627704,4.297851899988018,,216,prac,prac,2025-01-27_14h17.02.042,MID1.0,60.17006466986649,
5,2,7.0,39.87036140001146,Green,2.5830376849993013,0,,-1,3,1,1.3330376849993013,45.78718889999436,45.738270236275646,5.915918299986515,,216,prac,prac,2025-01-27_14h17.02.042,MID1.0,60.17006466986649,
6,2,9.0,45.78730790002737,Green,2.771790723599968,0,,-1,3,1,1.5217907235999681,52.1035679000197,52.03185168347559,6.31520739995176,,216,prac,prac,2025-01-27_14h17.02.042,MID1.0,60.17006466986649,
7,2,11.0,52.103685899986885,Green,1.504559019005056,1,0.3008930000360124,1,4,1,0.25455901900505595,55.88730410003336,55.7909697214857,3.7826463999808766,,216,prac,prac,2025-01-27_14h17.02.042,MID1.0,60.17006466986649,
8,2,11.0,55.88741460000165,Blue,2.4607486467633093,0,,-1,4,1,1.2107486467633093,61.553367600019556,61.462467015012315,5.6650640000007115,,216,prac,prac,2025-01-27_14h17.02.042,MID1.0,60.17006466986649,
9,2,13.0,61.55348539998522,Green,2.865137749271001,1,0.3335143000003882,1,5,1,1.615137749271001,68.03759200003697,67.94274251355432,6.483136099996045,,216,prac,prac,2025-01-27_14h17.02.042,MID1.0,60.17006466986649,
